name,neighborhood,price
2000 SF 3br 2bath West Village private  townhouse,Manhattan,500
"Williamsburg鈥擲teps To Subway, Private Bath&Balcony",Brooklyn,101
Beautiful Duplex Apartment,Brooklyn,220
Large 2 Bedroom Great for Groups!,Brooklyn,125
"Modern Brooklyn Apt., August sublet",Brooklyn,80
"1,800 sq foot in luxury building",Manhattan,100
Sunny 2-story Brooklyn townhouse w deck and garden,Brooklyn,200
"Times Square, Safe, Clean and Cozy!",Manhattan,59
"Cozy Room #3, Landmark Home 1 Block to PRATT",Brooklyn,125
Beautiful Apartment East Village,Manhattan,140
Park Slope Green Guest House,Brooklyn,120
2 BR / 2 Bath Duplex Apt with patio! East Village,Manhattan,350
NYC fabulous views Manhattan's eye,Manhattan,199
2 story family home in Williamsburg,Brooklyn,325
Comfortable UWS 2-BD Family-Friendly Brownstone,Manhattan,235
Great Large 1 BR apt  in East Village!,Manhattan,225
Eveland Private Bed & Living Room w/ Own Entrance,Brooklyn,99
Sugar Hill Rest Stop ,Manhattan,170
3 Story Town House in Park Slope,Brooklyn,400
apartment next to Central park,Manhattan,170
East Village Sanctuary,Manhattan,100
Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,Brooklyn,75
Modern Apt with Spectacular Views,Brooklyn,90
Garden studio in the Upper East Sid,Manhattan,150
Secluded Master Bedroom in Beautiful Huge Apt,Manhattan,85
B & B Room 1,Brooklyn,70
ACCOMMODATIONS GALORE #1,Manhattan,120
Sunny Room in New Condo,Brooklyn,89
Stylish & Sleek Apartment Near SoHo!,Manhattan,185
NYC artists鈥 loft with roof deck,Brooklyn,50
Unique & Charming small 1br Apt. LES,Manhattan,105
Most Central Location!,Manhattan,130
Luminous Beautiful West Village Studio,Manhattan,115
Sanctuary in East Flatbush,Brooklyn,77
Room with En Suite Bathroom & Deck,Brooklyn,76
FLAT MACDONOUGH,Brooklyn,125
Huge Private  Floor at The Waverly,Brooklyn,135
"Modern Greenpoint, Brooklyn Apt",Brooklyn,250
"Sun-drenched, artsy modernist 1 BDRM duplex",Brooklyn,199
"Sunny, Cobble Hill Apartment",Brooklyn,140
Fully Furnished Basement Apartment,Queens,140
FLAT MACDONOUGH GARDEN,Brooklyn,115
Light filled Williamsburg Apartment,Brooklyn,160
Retreat in Williamsburg,Brooklyn,195
NYC Zen,Manhattan,195
Cozy BR in Wiliamsburg 3 Bedroom,Brooklyn,80
Sunny Room in Old Historical Brooklyn Townhouse,Brooklyn,44
Sun Filled Classic West Village Apt,Manhattan,156
Lg Rm in Historic Prospect Heights,Brooklyn,85
Classic Artist Loft Williamsburg,Brooklyn,125
Great location. Spacious on PROSPECT PARK,Brooklyn,115
Private Bdrm/Bathrm. New! Elevator!,Manhattan,69
"Sunny, clean 1 bdrm in W. Village",Manhattan,225
Great location in Williamsburg,Brooklyn,125
Light and Airy Upper East Side 1 BDR apartment,Manhattan,219
Luxury Brownstone in Boerum Hill,Brooklyn,475
CENTRAL PARK LOFT all for YOU,Manhattan,99
Indie-Chic Share In Williamsburg,Brooklyn,69
"A room w/ a Manhattan view, longer stay",Queens,79
"Private, Large & Sunny 1BR w/W&D",Brooklyn,135
Luxurious Condo in DUBMO with View,Brooklyn,250
Charming & Cozy midtown loft any WEEK ENDS  !!!,Manhattan,250
* Spacious GARDEN Park Slope Duplex* 6 people max,Brooklyn,250
Convenient cozy cheap apt Manhattan,Manhattan,80
Parlor Room In Victorian Townhouse,Brooklyn,70
House On Henry (2nd FLR Suite),Brooklyn,165
New York room with a view,Staten Island,70
Sunny cozy room in Brklyn townhouse,Brooklyn,50
Room with a View,Bronx,40
Light+Open+Airy+Rustic+Modern Loft,Brooklyn,150
West Inn 2 - East Village,Manhattan,125
Financial District Luxury Loft,Manhattan,196
BROOKLYN VICTORIAN STYLE SUITE.....,Brooklyn,110
Your own Lovely West Village Studio,Manhattan,170
ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Manhattan,165
Greenwich Village Stylish Apartment,Manhattan,150
Clean and Cozy Harlem Apartment,Manhattan,100
"Fort Greene, Brooklyn: Center Bedroom",Brooklyn,65
Beautiful Queens Brownstone! - 5BR,Queens,350
Couldn't Be Closer To Columbia Uni,Manhattan,99
Bright Spacious Luxury Condo,Brooklyn,200
Park Slope haven 15 mins from Soho,Brooklyn,150
SAFE  AND BEAUTIFUL ACCOMODATION,Brooklyn,90
Large Room in private Brownstone in Park Slope,Brooklyn,120
"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Manhattan,75
"LARGE, COMFY 1BDR W/CHARACTER!!!",Brooklyn,175
Chelsea Studio sublet 1 - 2 months,Manhattan,125
LUX APT IN TIMES SQUARE NEW BUILDING,Manhattan,275
Designer 1 BR Duplex w/ Terrace- Spectacular Views,Manhattan,299
Lovely Apt & Garden;  Legal;  Best Area; Amenities,Brooklyn,135
1 Bedroom in 2 Bdrm Apt- Upper East,Manhattan,130
Lower East Side $57~/night,Manhattan,83
Prime Location in Manhattan,Manhattan,123
( F) Excellent/Pvt Rm,Queens,55
"Quiet, sunny Midtown Manhattan apt.",Manhattan,195
Big Room/Washer-Dryer/Wifi/AC/JMZ,Brooklyn,80
cozy studio with parking spot,Queens,98
Clean and convenient 2BR apartment,Queens,140
3 floors of luxury!,Queens,265
The Institute鈥擧eart of Williamsburg,Brooklyn,249
MIDTOWN WEST - Large alcove studio,Manhattan,105
Beautiful Uptown Manhattan apartmnt,Manhattan,200
Sml Rm in pr Brst  Park Sl great for Med/students,Brooklyn,100
City Room - Private Penthouse Apt.,Manhattan,121
Cozy bedroom by Yankee Stadium,Bronx,45
Great apartment with private bathroom and entrance,Manhattan,100
Private Garden Apt 鈥 New Renovation,Brooklyn,140
Modern comfort in art infused landmark Brownstone,Brooklyn,71
"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",Manhattan,130
Sleek & Comfortable Soho Apt,Manhattan,199
Spacious Williamsburg Share w/ LOFT BED,Brooklyn,69
Cozy 2 br in sunny Fort Greene apt,Brooklyn,68
Cozy East Village Railroad 1 Bed!,Manhattan,130
1 Bedroom Loft w/ Private Roof Deck,Brooklyn,195
City Room - Private & Comfy Bedroom,Manhattan,64
Elegant NYC Pad,Queens,140
"Clean & bright 1BR in Cobble Hill, GREAT location!",Brooklyn,159
"Modern, Large East Village Loft",Manhattan,189
"Great new apt, close to everything",Manhattan,250
Quiet & Clean Retreat in the City,Manhattan,239
Stylish Large Gramercy Loft!,Manhattan,305
The Brownstone-Luxury 1 Bd Apt/NYC,Manhattan,155
PRIVATE Room on Historic Sugar Hill,Manhattan,60
South Slope Green,Brooklyn,135
"17 Flr. Manhattan Views, Nr. Subway",Manhattan,120
"Spacious 1BR, Adorable Clean Quiet",Manhattan,150
"Nice, clean, safe, convenient 3BR",Queens,140
Franklin St Flat in Trendy Greenpoint Brooklyn,Brooklyn,135
"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",Manhattan,250
One bedroom Apt. in NYC,Manhattan,250
"Beautiful, elegant 3 bed SOHO loft",Manhattan,500
Spacious Greenwich Village Apt,Manhattan,225
SpaHa Studio Monthly Rental,Manhattan,125
City Room - Private Luxury Suite,Manhattan,92
Private Room/bath Luxurious Harlem,Manhattan,175
The gem of the East Village,Manhattan,99
"Bright and spacious, garden below!",Manhattan,195
ACCOMMODATIONS GALORE #2,Manhattan,140
Colorful Private One Bedroom Apt,Manhattan,135
Huge Chelsea Loft,Manhattan,500
Great room in great location,Manhattan,80
Exclusive Room with Private Bath in  LES,Manhattan,120
"Quiet, clean midtown apt w. elevato",Manhattan,110
BK Sweet Suite w/Kitchen&FullBath,Brooklyn,65
Great East Village Apartment Rental,Manhattan,130
BROWNSTONE SUNDRENCHED BEAUTY,Brooklyn,99
A SpeciaL!! Private Room in NY,Staten Island,36
B NYC Staten Alternative...,Staten Island,37
C Private Room By The Ferry,Staten Island,37
Smallest House In The Village,Manhattan,175
Beautiful modern studio apartment in heart of NYC,Manhattan,205
Beautiful Landmarked Duplex,Brooklyn,285
BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,Brooklyn,59
D Private Che@p Room 2 Explore NYC,Staten Island,36
Safe cute near subway& Manhattan NY NY retro style,Queens,99
Large and Cozy Private Bedroom,Brooklyn,39
Small tidy bedroom in duplex,Brooklyn,60
LL3,Bronx,90
DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,Bronx,105
"Private, Large & Sunny Top Floor Apt  w/W&D",Brooklyn,135
Cottage in the Village,Manhattan,390
BEDROOM1 FOR RENT 10min from Manhan,Brooklyn,70
"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",Manhattan,75
Williamsburg near soho. / loftbed,Brooklyn,60
Prime East Village 1 Bedroom,Manhattan,200
BROOKLYN  STUDIO APARTMENT,Brooklyn,100
BEDROOM2 FOR RENT  10min from Manh,Brooklyn,70
cozy bedroom in lovely garden apt,Brooklyn,110
Crown Heights Garden Apt.,Brooklyn,60
Amazing  Sunny & Breezy Home In the Heart of  NYC,Manhattan,90
ENJOY Downtown NYC!!,Manhattan,68
Charming UWS Treehouse Apt,Manhattan,115
Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Brooklyn,75
"Room in S3rd/Bedford, Williamsburg",Brooklyn,60
CHARMING EAST VILLAGE 2 (or 1) BR,Manhattan,129
Farmhouse Apartment in Williamsburg,Brooklyn,130
Bright+Spacious Williamsburg Abode!,Brooklyn,95
"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",Manhattan,75
Beautiful 1 Bedroom Apt Park Slope,Brooklyn,175
CHARMING CARROLL GARDENS APT.,Brooklyn,190
Private Bedroom Brownstone Brooklyn,Brooklyn,49
East Village Loft with Piano & Patio,Manhattan,212
Lower East Side Magic Room,Manhattan,95
**Fantastic Williamsburg Apt**,Brooklyn,140
West Harlem Home Base - Eco-Apt.,Manhattan,135
Charming Garden Apt in Park Slope,Brooklyn,150
"Lovely, Modern, Garden Apartment",Brooklyn,190
Central Park 1BR sunny condo,Manhattan,124
Cozy Garden Apartment  in Williamsburg,Brooklyn,135
SoHa comfort-by NW Central Park!,Manhattan,122
Cozy room in Upper West Side,Manhattan,109
Cozy Private Room in Apartment,Manhattan,85
The Cozy Brownstone Inn (discount)!,Brooklyn,145
Prewar Penthouse w Private Terrace,Manhattan,195
Designer 2.5 BR Loft in Carroll Gardens by Subway,Brooklyn,250
Bright Beautiful Brooklyn,Brooklyn,125
Unique spacious loft on the Bowery,Manhattan,575
"Nice renovated apt, prime location!",Manhattan,150
Brooklyn Writer's Nook,Brooklyn,70
Private Bedroom in Large NYC Apartment,Manhattan,90
"Large, Sunny Room East Village NYC",Manhattan,65
Great Large 3 BR/2 Bath Duplex with Private Patio!,Manhattan,500
All That Jazz. Uptown style on Sugar Hill.,Manhattan,250
Bright and lovely 1 bdrm apt in LES,Manhattan,125
Beautiful One Bed West Village - 4 Month Special,Manhattan,200
Gigantic Private Brooklyn Loft!,Brooklyn,229
Condo Apartment with laundry in unit,Bronx,90
1BR: See Central Park from Terrace!,Manhattan,110
Private room in cozy Greenpoint,Brooklyn,59
Food & Music Dream Apartment in Williamsburg,Brooklyn,195
French Garden cottage off Bedford,Brooklyn,169
Alcove Studio w/ outdoor Patio Deck,Manhattan,113
Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,Manhattan,250
One Bedroom Mini studio - Free WIFI,Queens,115
"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",Brooklyn,55
BROOKLYN > Guest Room w/ King Bed in Williamsburg,Brooklyn,69
Bright Cozy Chinatown Studio Apt.,Manhattan,150
Eveland the Place to Stay & Enjoy a 5-猸愶笍 2bdrm,Brooklyn,169
Superior @ Box House,Brooklyn,179
Hells Kitchen Garden of Eden,Manhattan,150
"Historic House Boerum Hill, BK, NYC",Brooklyn,135
Lovely 3 bedroom in Italianate Brownstone w/garden,Brooklyn,350
"Williamsburg HUGE, PRIVATE BATH - Next to Train!",Brooklyn,120
Cozy room in East Village with AC,Manhattan,71
Duplex w/ Terrace @ Box House Hotel,Brooklyn,349
Loft w/ Terrace @ Box House Hotel,Brooklyn,349
Spacious 3 Bedroom Duplex in Park Slope,Brooklyn,165
Loft w/ Terrace @ Box House Hotel,Brooklyn,249
Columbia Castle in Brooklyn Heights,Brooklyn,100
Columbia Castle 2 BR,Brooklyn,200
"Charming Artist's Flat, East Village",Manhattan,169
BEAUTIFUL 2 BEDROOM APARTMENT,Brooklyn,185
Brooklyn Cove Studio Apt w/ Garden!!,Brooklyn,65
"Ft. Greene garden gem, large and convenient",Brooklyn,130
Williamsburg penthouse with private roof cabana,Brooklyn,199
East Village Designer's 1-BR APT,Manhattan,225
Superior @ Box House,Brooklyn,179
So Much Room in Brooklyn,Brooklyn,150
Large Studio--Heart of East Village,Manhattan,139
Huge.Bright.Clean.Safe. Private Room,Manhattan,95
Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,Brooklyn,79
MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,Manhattan,150
The Brooklyn Waverly,Brooklyn,650
"WONDERFUL, COMFORTABLE STUDIO",Brooklyn,90
MAISON DES SIRENES 2,Brooklyn,120
"Modern, Safe, Clean, Bright Room in Astoria for 2",Queens,80
LARGE 1BR (CONV 2BR) CROWN HEIGHTS,Brooklyn,100
The Vernon On Greene,Brooklyn,175
"Beautiful, Bright鈥檚, Warm & Spacious 1.5BR Apt",Brooklyn,120
Lovely 1BR in Tree-lined WBurg,Brooklyn,140
Spacious Loft in Clinton Hill,Brooklyn,200
"The Brooklyn Waverly, One Bedroom",Brooklyn,165
LOVELY APARTMENT IN THE HEART OF NY,Manhattan,125
Groovy NYC Chelsea Pad,Manhattan,130
Comfortable Cozy Space in El Barrio,Manhattan,65
Sunny Bklyn Jewel  Fort Greene JULY  - AUG 2019,Brooklyn,123
"MANHATTAN Neat, Nice, Bright ROOM",Manhattan,67
Bienvenue,Queens,50
Large Brand New Park Slope 1BR,Brooklyn,130
Colorful Artistic Williamsburg Apt,Brooklyn,100
UWS Brownstone Near Central Park,Manhattan,212
Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,Brooklyn,190
2 BR w/ Terrace @ Box House Hotel,Brooklyn,599
BOHEMIAN EAST VILLAGE 2 BED HAVEN,Manhattan,249
Oceanfront Apartment in Rockaway,Queens,70
Private 1-Bedroom Apt in Townhouse,Brooklyn,100
Bright Room With A Great River View,Manhattan,60
Tree lined block modern apartment,Brooklyn,135
Sweet Historic Greenpoint Duplex,Brooklyn,175
Riverside Charm with Fire Place,Manhattan,120
"Very Central, Nomad/Chelsea Loft Studio",Manhattan,169
Sunny 3BR Apt Ideal for Family  ,Brooklyn,165
Cozy Private Room in West Harlem!,Manhattan,90
UES Quiet & Spacious 1 bdrm for 4,Manhattan,225
ALL ABOUT A VERY COMFORTABLE ROOM..,Brooklyn,95
Brooklyn- Crown Heights Garden Apt.,Brooklyn,55
Cozy room in Time Square!,Manhattan,85
Large Park Slope Townhouse Duplex,Brooklyn,199
Lower East Side 2 Bedroom Apt,Manhattan,211
"Manhattan Studio, Perfect Location",Manhattan,145
Sun-Drenched Hamilton Hts Jewel   ,Manhattan,65
Your Stunning Vacation Apartment!,Manhattan,99
1 BDRM Apt-Weekend Sublease,Queens,110
ROOM WITH A  KITCHENETTE,Brooklyn,80
"Conveniently Located, Sunny Brooklyn Heights!",Brooklyn,150
Style in Stuyvesant Heights,Brooklyn,110
Heart of Meatpacking & Chelsea,Manhattan,290
Spacious East Village apt near it all,Manhattan,87
Williamsburg apartment right by the subway,Brooklyn,190
Spacious Brooklyn Loft - 2 Bedroom,Brooklyn,200
"Park Slope Apt:, Spacious 2 bedroom",Brooklyn,165
NYC Studio for Rent in Townhouse,Manhattan,110
鈿Quiet Gem w/roof deck on NY's Hottest Street鈿,Manhattan,395
Authentic New York City Living ,Brooklyn,99
SUPER BIG AND COZY PRIVATE BEDROOM,Brooklyn,39
鈽哅assive DUPLEX鈽 2BR & 2BTH East Village 9+ Guests,Manhattan,189
Gorgeous Upper West Side Apartment,Manhattan,85
"Luxe, Spacious 2BR 2BA Nr Trains",Brooklyn,260
City Room - Street View Apt,Manhattan,122
Cozy and Bright One Bedroom in BK,Brooklyn,165
Forest Hills Apt minutes to midtown Manhattan,Queens,97
Spacious West Village 1 b/room King,Manhattan,170
Perfect Williamsburg Summer Haven,Brooklyn,125
Midtown cozy convenient,Manhattan,130
Prime Williamsburg Apartment,Brooklyn,225
"Private, spacious room in Brooklyn",Brooklyn,50
Garden apartment close to Manhattan,Brooklyn,170
The Ground Studio - West Side,Manhattan,132
Stunning arty 3200sf 3FLR+3BR townhome w/terrace,Brooklyn,250
Sunny and Spacious Designer's Home,Brooklyn,141
"Spacious,Sunny, private one bedroom",Brooklyn,64
Truly Amazing Oasis In The City,Brooklyn,249
Holiday Time in NY - Oh My!!,Brooklyn,79
"East Village, King-Sized, Charmer",Manhattan,185
Affordable Furnished Apartment,Brooklyn,120
Architect's Brownstone,Brooklyn,495
LUXURY SOHO 2 Bedroom Apt ,Manhattan,375
Charming Nolita Apartment!!,Manhattan,175
"EAST VILLAGE STUDIO, sunny & quiet",Manhattan,150
LUXURY OF THE HORIZON,Manhattan,259
1 Bdrm in 4 Bdrm dupelx/roof deck,Manhattan,96
The Heart of Prime Williamsburg,Brooklyn,145
Parisian apartment in Chelsea,Manhattan,200
Cozy 2 Bedroom with Private Garden,Manhattan,95
Three-bedroom house in a quiet neighborhood,Brooklyn,250
Beautiful Duplex w/Private Garden,Manhattan,295
NYC - Sunny Greenwich Village 1br,Manhattan,175
Garage Designer Loft,Brooklyn,451
Best City Area Columbia U Upper West Side C Park,Manhattan,165
Your own apartment off Park Avenue,Manhattan,250
Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!,Bronx,77
Lower East Side 2 Bed Apt.,Manhattan,250
Astoria-Private Home NYC-,Queens,129
"BIG, COMFY , PRIV. ROOM, BIG APT, YARD, GREAT LOC.",Brooklyn,98
Park Slope Apartment,Brooklyn,150
CHARMING PRIVATE BEDROOM EAST VILLAGE,Manhattan,95
City Room - Semi Private Bedroom,Manhattan,55
Cozy apartment in a brownstone,Manhattan,300
Female Only Clean15min to Manhattan,Queens,42
Greenpoint Spacious Loft,Brooklyn,125
Private E. Village Townhouse Stay,Manhattan,175
Harlem/Hamilton Heights Cozy Room,Manhattan,75
Incredible Prime Williamsburg Loft!,Brooklyn,255
Large  Loft Style  Studio  Space,Brooklyn,72
Hancock Town House!-Stuyvesant Mews,Brooklyn,165
Entire Apt in Heart of Williamsburg,Brooklyn,165
Clinton Hill + Free Coffee = #smile,Brooklyn,75
"Nice, cozy, neat apt Greenpoint,BK",Brooklyn,130
PRIVATE and SUNNY Williamsburg Apt!,Brooklyn,139
Purple Room for 2/3 in brownstone $1450 per month,Brooklyn,88
Red Room for two in Brownstone for $1355/mo,Brooklyn,80
"Chelsea living, 2BR best location",Manhattan,150
LOCATION LOCATION LOCATION UWS 60's,Manhattan,200
In the heart of East Village,Manhattan,200
Sunny 15min to Manhattan LADY only,Queens,42
Surfer room 15mins to downtown NYC!,Brooklyn,90
Manhattan Penthouse-Max.12 guests,Manhattan,295
Prime Williamsburg 3 BR with Deck,Brooklyn,450
Beautiful Brooklyn Oasis ,Brooklyn,130
Blue Room in Awesome Artist's Apartment!,Brooklyn,89
Cool & Spacious Harlem Artist Flat,Manhattan,198
鈽 STUDIO East Village 鈽 Own bath! 鈽 Sleeps 4 鈽,Manhattan,99
Greenpoint Loft / Le Chez Andrea,Brooklyn,46
"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*",Manhattan,140
Amazing Brownstone in Best Brooklyn,Brooklyn,500
Couldn't Be Closer To Columbia Uni2,Manhattan,75
Lady only Curtain-divided room,Queens,33
Nice Manhattan Apt Near Central Park and Subway,Manhattan,250
LG Private Room/Family Friendly,Brooklyn,60
Spacious Quiet rm - 20mins to Midtown,Manhattan,75
"3 BR, Beautiful Brooklyn Duplex",Brooklyn,350
Spacious modern studio apartment in Manhattan,Manhattan,205
Gorgeous Duplex + Garden,Brooklyn,219
CBG# 4Tiny room w/ huge window/AC,Brooklyn,60
Charming upper west side apartment,Manhattan,185
Light-filled East Village Delight,Manhattan,190
"Sunny, quiet, legal homelike suite-Pk Slope South",Brooklyn,105
Spacious Duplex in Brownstone!,Manhattan,250
Lovely Vintage Haven鈥擧eart of UWS,Manhattan,175
Modern Space in Charming Pre-war,Manhattan,65
Warehouse Loft with Garden view,Brooklyn,75
 Affordable & Cozy ,Bronx,37
Creative Vintage Loft in S. Williamsburg,Brooklyn,85
Very close to Downtown Awesome Private Apartment,Brooklyn,106
The Happy home!,Manhattan,79
"Fort Greene, Brooklyn: Front Bedroom",Brooklyn,85
Gorgeous 1 bdrm in huge duplex!,Manhattan,170
"Sunny, cozy room in Lower East Side",Manhattan,115
Large Quiet Bedroom Near Columbia U,Manhattan,89
Cozy Pre-War Harlem Apartment,Manhattan,49
spacious studio,Brooklyn,91
"Elegant 2-BR duplex, Union Square",Manhattan,400
Cozy private family home in Bushwick,Brooklyn,150
Luxury 2Bed/2.5Bath Central Park View,Manhattan,2000
Cosy Sunny 1brm in Prospect Heights,Brooklyn,97
East Village bedroom w rooftop,Manhattan,100
Williamsburg Home Away From Home!,Brooklyn,179
Brand New Beautiful Duplex Apartment with Garden,Brooklyn,500
"PRIME, Luxury, Spacious 2 Bedroom Apt in Chelsea",Manhattan,429
SPACIOUS ALCOVE STUDIO/ JUNIOR ONE,Manhattan,189
High-end doorman bldg in the LES,Manhattan,120
Spring & Mulberry 2 Bedroom Apartment,Manhattan,300
Ultra Modern NYC Garden Apartment,Queens,107
Modern Garden Apartment in NYC,Queens,95
Gorgeous Entire Manhattan Townhouse,Manhattan,199
Cozy studio Apartment in Upper East,Manhattan,120
Historic classic central cozy Village clean NYU,Manhattan,199
A PRIVATE FLAT / APARTMENT- $SPECIAL$,Bronx,125
Williamsburg bedroom by Bedford Ave,Brooklyn,70
Clean and bright with a comfortable atmosphere,Brooklyn,75
WEST VILLAGE LRG CLEAN SUNNY PRIVATE BDRM,Manhattan,100
Historic Brooklyn Studio Apartment,Brooklyn,99
Comfort at Crossroads of Downtown,Manhattan,250
"""The Oasis"" on Bedford Williamsburg",Brooklyn,350
"Large, sunny garden apartment.",Brooklyn,170
UNION SQUARE/ E. VILL 1BR BEAUTIFUL,Manhattan,165
