订单号,商品ID,商品名,单价,数量,总价,下单时间
700012201907035714,700012,隔汗巾,8,19,152,2019-07-03 08:57:14
700013201907030307,700013,酒精棉片,15,19,285,2019-07-03 09:03:07
700015201907034613,700015,驱蚊贴,25,6,150,2019-07-03 10:46:13
700014201907030015,700014,消毒液,28,19,532,2019-07-03 13:00:15
700014201907033018,700014,消毒液,28,24,672,2019-07-03 14:30:18
700010201907030251,700010,儿童口罩,20,25,500,2019-07-03 15:02:51
700011201907030251,700011,袜子,5,12,60,2019-07-03 15:02:51
700010201907034201,700010,儿童口罩,20,15,300,2019-07-03 16:42:01
700011201907034201,700011,袜子,5,12,60,2019-07-03 16:42:01
700010201907030618,700010,儿童口罩,20,10,200,2019-07-03 17:06:18
700011201907030618,700011,袜子,5,10,50,2019-07-03 17:06:18
700010201907033808,700010,儿童口罩,20,15,300,2019-07-03 17:38:08
700011201907033808,700011,袜子,5,7,35,2019-07-03 17:38:08
700012201907032215,700012,隔汗巾,8,19,152,2019-07-03 18:22:15
700010201907033829,700010,儿童口罩,20,25,500,2019-07-03 19:38:29
700011201907033829,700011,袜子,5,18,90,2019-07-03 19:38:29
700012201907034229,700012,隔汗巾,8,1,8,2019-07-03 19:42:29
700012201907035943,700012,隔汗巾,8,17,136,2019-07-03 21:59:43
700010201907030555,700010,儿童口罩,20,15,300,2019-07-03 22:05:55
700011201907030555,700011,袜子,5,13,65,2019-07-03 22:05:55
700014201907031238,700014,消毒液,28,15,420,2019-07-03 22:12:38
700015201907040425,700015,驱蚊贴,25,14,350,2019-07-04 07:04:25
700010201907042928,700010,儿童口罩,20,25,500,2019-07-04 09:29:28
700011201907042928,700011,袜子,5,6,30,2019-07-04 09:29:28
700010201907044738,700010,儿童口罩,20,25,500,2019-07-04 09:47:38
700011201907044738,700011,袜子,5,9,45,2019-07-04 09:47:38
700010201907042423,700010,儿童口罩,20,19,380,2019-07-04 10:24:23
700011201907042423,700011,袜子,5,8,40,2019-07-04 10:24:23
700010201907043316,700010,儿童口罩,20,10,200,2019-07-04 10:33:16
700011201907043316,700011,袜子,5,5,25,2019-07-04 10:33:16
700010201907042208,700010,儿童口罩,20,10,200,2019-07-04 11:22:08
700012201907045442,700012,隔汗巾,8,10,80,2019-07-04 12:54:42
700012201907045652,700012,隔汗巾,8,2,16,2019-07-04 12:56:52
700010201907040246,700010,儿童口罩,20,12,240,2019-07-04 18:02:46
700014201907044503,700014,消毒液,28,23,644,2019-07-04 18:45:03
700010201907041152,700010,儿童口罩,20,12,240,2019-07-04 19:11:52
700010201907044930,700010,儿童口罩,20,12,240,2019-07-04 19:49:30
700010201907040624,700010,儿童口罩,20,13,260,2019-07-04 22:06:24
700010201907045307,700010,儿童口罩,20,23,460,2019-07-04 22:53:07
700010201907045816,700010,儿童口罩,20,13,260,2019-07-04 23:58:16
700012201907051730,700012,隔汗巾,8,10,80,2019-07-05 02:17:30
700014201907051350,700014,消毒液,28,14,392,2019-07-05 05:13:50
700013201907051221,700013,酒精棉片,15,42,630,2019-07-05 10:12:21
700010201907055405,700010,儿童口罩,20,17,340,2019-07-05 12:54:05
700012201907052048,700012,隔汗巾,8,20,160,2019-07-05 13:20:48
700010201907052320,700010,儿童口罩,20,15,300,2019-07-05 13:23:20
700010201907054047,700010,儿童口罩,20,35,700,2019-07-05 13:40:47
700010201907052651,700010,儿童口罩,20,15,300,2019-07-05 14:26:51
700010201907051152,700010,儿童口罩,20,25,500,2019-07-05 15:11:52
700010201907054856,700010,儿童口罩,20,25,500,2019-07-05 22:48:56
700010201907054017,700010,儿童口罩,20,25,500,2019-07-05 23:40:17
700012201907063629,700012,隔汗巾,8,16,128,2019-07-06 01:36:29
700012201907065423,700012,隔汗巾,8,10,80,2019-07-06 05:54:23
700010201907063938,700010,儿童口罩,20,20,400,2019-07-06 11:39:38
700010201907065304,700010,儿童口罩,20,20,400,2019-07-06 13:53:04
700012201907065644,700012,隔汗巾,8,10,80,2019-07-06 13:56:44
700014201907060725,700014,消毒液,28,21,588,2019-07-06 16:07:25
700010201907063809,700010,儿童口罩,20,15,300,2019-07-06 17:38:09
700014201907065146,700014,消毒液,28,15,420,2019-07-06 17:51:46
700010201907062606,700010,儿童口罩,20,15,300,2019-07-06 19:26:06
700014201907065628,700014,消毒液,28,7,196,2019-07-06 21:56:28
700014201907070105,700014,消毒液,28,17,476,2019-07-07 06:01:05
700010201907074823,700010,儿童口罩,20,15,300,2019-07-07 13:48:23
700014201907074759,700014,消毒液,28,12,336,2019-07-07 15:47:59
700010201907074250,700010,儿童口罩,20,38,760,2019-07-07 16:42:50
700010201907073629,700010,儿童口罩,20,46,920,2019-07-07 17:36:29
700014201907070006,700014,消毒液,28,22,616,2019-07-07 18:00:06
700010201907072427,700010,儿童口罩,20,46,920,2019-07-07 18:24:27
700010201907072942,700010,儿童口罩,20,50,1000,2019-07-07 18:29:42
700010201907070145,700010,儿童口罩,20,50,1000,2019-07-07 19:01:45
700010201907070810,700010,儿童口罩,20,50,1000,2019-07-07 20:08:10
700010201907073813,700010,儿童口罩,20,35,700,2019-07-07 23:38:13
700012201907082108,700012,隔汗巾,8,3,24,2019-07-08 01:21:08
700010201907081012,700010,儿童口罩,20,35,700,2019-07-08 07:10:12
700013201907085943,700013,酒精棉片,15,37,555,2019-07-08 11:59:43
700010201907082911,700010,儿童口罩,20,35,700,2019-07-08 15:29:11
700012201907081723,700012,隔汗巾,8,19,152,2019-07-08 16:17:23
700012201907082009,700012,隔汗巾,8,3,24,2019-07-08 16:20:09
700010201907083051,700010,儿童口罩,20,42,840,2019-07-08 16:30:51
700010201907084814,700010,儿童口罩,20,43,860,2019-07-08 16:48:14
700014201907080452,700014,消毒液,28,15,420,2019-07-08 17:04:52
700010201907082317,700010,儿童口罩,20,30,600,2019-07-08 18:23:17
700010201907083018,700010,儿童口罩,20,39,780,2019-07-08 18:30:18
700010201907082718,700010,儿童口罩,20,50,1000,2019-07-08 20:27:18
700014201907080155,700014,消毒液,28,16,448,2019-07-08 21:01:55
700010201907085919,700010,儿童口罩,20,48,960,2019-07-08 23:59:19
700014201907090544,700014,消毒液,28,10,280,2019-07-09 00:05:44
700015201907093213,700015,驱蚊贴,25,28,700,2019-07-09 01:32:13
700014201907095253,700014,消毒液,28,21,588,2019-07-09 02:52:53
700014201907094137,700014,消毒液,28,16,448,2019-07-09 06:41:37
700015201907093226,700015,驱蚊贴,25,10,250,2019-07-09 07:32:26
700010201907093738,700010,儿童口罩,20,35,700,2019-07-09 07:37:38
700010201907090333,700010,儿童口罩,20,45,900,2019-07-09 08:03:33
700014201907091147,700014,消毒液,28,16,448,2019-07-09 08:11:47
700014201907090535,700014,消毒液,28,19,532,2019-07-09 09:05:35
700010201907094153,700010,儿童口罩,20,49,980,2019-07-09 09:41:53
700010201907090243,700010,儿童口罩,20,43,860,2019-07-09 10:02:43
700014201907095538,700014,消毒液,28,22,616,2019-07-09 10:55:38
700010201907093523,700010,儿童口罩,20,46,920,2019-07-09 11:35:23
700010201907090100,700010,儿童口罩,20,30,600,2019-07-09 12:01:00
700014201907091228,700014,消毒液,28,16,448,2019-07-09 15:12:28
700010201907092020,700010,儿童口罩,20,15,300,2019-07-09 15:20:20
700010201907094023,700010,儿童口罩,20,10,200,2019-07-09 16:40:23
700014201907094854,700014,消毒液,28,10,280,2019-07-09 16:48:54
700014201907093253,700014,消毒液,28,11,308,2019-07-09 17:32:53
700013201907095031,700013,酒精棉片,15,16,240,2019-07-09 17:50:31
700010201907095710,700010,儿童口罩,20,19,380,2019-07-09 18:57:10
700010201907095726,700010,儿童口罩,20,12,240,2019-07-09 19:57:26
700010201907090453,700010,儿童口罩,20,12,240,2019-07-09 20:04:53
700010201907095914,700010,儿童口罩,20,12,240,2019-07-09 20:59:14
700014201907091723,700014,消毒液,28,10,280,2019-07-09 22:17:23
700014201907102154,700014,消毒液,28,12,336,2019-07-10 04:21:54
700014201907104107,700014,消毒液,28,8,224,2019-07-10 04:41:07
700014201907101741,700014,消毒液,28,12,336,2019-07-10 06:17:41
700013201907100832,700013,酒精棉片,15,34,510,2019-07-10 12:08:32
700014201907101810,700014,消毒液,28,23,644,2019-07-10 12:18:10
700010201907103031,700010,儿童口罩,20,25,500,2019-07-10 14:30:31
700010201907101510,700010,儿童口罩,20,15,300,2019-07-10 16:15:10
700010201907103538,700010,儿童口罩,20,15,300,2019-07-10 16:35:38
700010201907103348,700010,儿童口罩,20,45,900,2019-07-10 17:33:48
700010201907102332,700010,儿童口罩,20,35,700,2019-07-10 18:23:32
700010201907104016,700010,儿童口罩,20,18,360,2019-07-10 20:40:16
700010201907104430,700010,儿童口罩,20,20,400,2019-07-10 20:44:30
700010201907105229,700010,儿童口罩,20,27,540,2019-07-10 21:52:29
700010201907105310,700010,儿童口罩,20,20,400,2019-07-10 21:53:10
700010201907102103,700010,儿童口罩,20,12,240,2019-07-10 22:21:03
700010201907102105,700010,儿童口罩,20,12,240,2019-07-10 23:21:05
700010201907105213,700010,儿童口罩,20,22,440,2019-07-10 23:52:13
700014201907113230,700014,消毒液,28,19,532,2019-07-11 01:32:30
700010201907111013,700010,儿童口罩,20,15,300,2019-07-11 08:10:13
700014201907110926,700014,消毒液,28,20,560,2019-07-11 10:09:26
700010201907115146,700010,儿童口罩,20,25,500,2019-07-11 12:51:46
700011201907115146,700011,袜子,5,17,85,2019-07-11 12:51:46
700010201907115212,700010,儿童口罩,20,25,500,2019-07-11 12:52:12
700011201907115212,700011,袜子,5,7,35,2019-07-11 12:52:12
700012201907113050,700012,隔汗巾,8,1,8,2019-07-11 13:30:50
700014201907110838,700014,消毒液,28,7,196,2019-07-11 15:08:38
700010201907114959,700010,儿童口罩,20,23,460,2019-07-11 15:49:59
700011201907114959,700011,袜子,5,7,35,2019-07-11 15:49:59
700014201907115519,700014,消毒液,28,10,280,2019-07-11 21:55:19
700015201907121950,700015,驱蚊贴,25,21,525,2019-07-12 02:19:50
700012201907122436,700012,隔汗巾,8,8,64,2019-07-12 06:24:36
700014201907120324,700014,消毒液,28,11,308,2019-07-12 07:03:24
700014201907124357,700014,消毒液,28,10,280,2019-07-12 07:43:57
700014201907125950,700014,消毒液,28,19,532,2019-07-12 12:59:50
700013201907122042,700013,酒精棉片,15,48,720,2019-07-12 13:20:42
700014201907120405,700014,消毒液,28,24,672,2019-07-12 15:04:05
700010201907120428,700010,儿童口罩,20,13,260,2019-07-12 16:04:28
700011201907120428,700011,袜子,5,2,10,2019-07-12 16:04:28
700010201907125102,700010,儿童口罩,20,13,260,2019-07-12 17:51:02
700011201907125102,700011,袜子,5,5,25,2019-07-12 17:51:02
700010201907122708,700010,儿童口罩,20,18,360,2019-07-12 18:27:08
700011201907122708,700011,袜子,5,17,85,2019-07-12 18:27:08
700010201907124351,700010,儿童口罩,20,18,360,2019-07-12 18:43:51
700011201907124351,700011,袜子,5,1,5,2019-07-12 18:43:51
700010201907124947,700010,儿童口罩,20,18,360,2019-07-12 18:49:47
700011201907124947,700011,袜子,5,10,50,2019-07-12 18:49:47
700014201907125246,700014,消毒液,28,24,672,2019-07-12 18:52:46
700010201907125238,700010,儿童口罩,20,16,320,2019-07-12 20:52:38
700011201907125238,700011,袜子,5,2,10,2019-07-12 20:52:38
700014201907124100,700014,消毒液,28,23,644,2019-07-12 22:41:00
700010201907124929,700010,儿童口罩,20,16,320,2019-07-12 23:49:29
700011201907124929,700011,袜子,5,8,40,2019-07-12 23:49:29
700014201907135908,700014,消毒液,28,18,504,2019-07-13 04:59:08
700014201907132835,700014,消毒液,28,25,700,2019-07-13 05:28:35
700013201907131423,700013,酒精棉片,15,50,750,2019-07-13 06:14:23
700013201907130332,700013,酒精棉片,15,49,735,2019-07-13 09:03:32
700010201907135333,700010,儿童口罩,20,26,520,2019-07-13 10:53:33
700011201907135333,700011,袜子,5,8,40,2019-07-13 10:53:33
700010201907130036,700010,儿童口罩,20,24,480,2019-07-13 12:00:36
700011201907130036,700011,袜子,5,10,50,2019-07-13 12:00:36
700010201907134942,700010,儿童口罩,20,24,480,2019-07-13 12:49:42
700011201907134942,700011,袜子,5,7,35,2019-07-13 12:49:42
700010201907135440,700010,儿童口罩,20,14,280,2019-07-13 12:54:40
700011201907135440,700011,袜子,5,15,75,2019-07-13 12:54:40
700012201907132219,700012,隔汗巾,8,4,32,2019-07-13 13:22:19
700010201907132644,700010,儿童口罩,20,15,300,2019-07-13 13:26:44
700011201907132644,700011,袜子,5,20,100,2019-07-13 13:26:44
700010201907132040,700010,儿童口罩,20,15,300,2019-07-13 14:20:40
700011201907132040,700011,袜子,5,17,85,2019-07-13 14:20:40
700012201907134640,700012,隔汗巾,8,9,72,2019-07-13 14:46:40
700014201907134649,700014,消毒液,28,20,560,2019-07-13 14:46:49
700015201907133242,700015,驱蚊贴,25,29,725,2019-07-13 15:32:42
700010201907134315,700010,儿童口罩,20,15,300,2019-07-13 15:43:15
700011201907134315,700011,袜子,5,6,30,2019-07-13 15:43:15
700010201907131424,700010,儿童口罩,20,18,360,2019-07-13 16:14:24
700011201907131424,700011,袜子,5,14,70,2019-07-13 16:14:24
700010201907132203,700010,儿童口罩,20,18,360,2019-07-13 19:22:03
700011201907132203,700011,袜子,5,4,20,2019-07-13 19:22:03
700010201907133234,700010,儿童口罩,20,18,360,2019-07-13 21:32:34
700011201907133234,700011,袜子,5,12,60,2019-07-13 21:32:34
700010201907131213,700010,儿童口罩,20,20,400,2019-07-13 22:12:13
700011201907131213,700011,袜子,5,4,20,2019-07-13 22:12:13
700010201907131905,700010,儿童口罩,20,19,380,2019-07-13 22:19:05
700011201907131905,700011,袜子,5,18,90,2019-07-13 22:19:05
700010201907132143,700010,儿童口罩,20,10,200,2019-07-13 22:21:43
700011201907132143,700011,袜子,5,12,60,2019-07-13 22:21:43
700014201907130128,700014,消毒液,28,9,252,2019-07-13 23:01:28
700014201907144159,700014,消毒液,28,19,532,2019-07-14 01:41:59
700013201907144009,700013,酒精棉片,15,20,300,2019-07-14 06:40:09
700014201907143122,700014,消毒液,28,17,476,2019-07-14 07:31:22
700010201907144511,700010,儿童口罩,20,30,600,2019-07-14 09:45:11
700011201907144511,700011,袜子,5,15,75,2019-07-14 09:45:11
700012201907144649,700012,隔汗巾,8,11,88,2019-07-14 09:46:49
700013201907140452,700013,酒精棉片,15,24,360,2019-07-14 10:04:52
700010201907141741,700010,儿童口罩,20,30,600,2019-07-14 12:17:41
700011201907141741,700011,袜子,5,8,40,2019-07-14 12:17:41
700014201907145041,700014,消毒液,28,21,588,2019-07-14 13:50:41
700014201907140821,700014,消毒液,28,15,420,2019-07-14 15:08:21
700010201907140659,700010,儿童口罩,20,30,600,2019-07-14 16:06:59
700011201907140659,700011,袜子,5,15,75,2019-07-14 16:06:59
700010201907141739,700010,儿童口罩,20,35,700,2019-07-14 16:17:39
700011201907141739,700011,袜子,5,10,50,2019-07-14 16:17:39
700012201907140012,700012,隔汗巾,8,2,16,2019-07-14 20:00:12
700014201907151547,700014,消毒液,28,14,392,2019-07-15 00:15:47
700014201907152025,700014,消毒液,28,16,448,2019-07-15 02:20:25
700013201907154510,700013,酒精棉片,15,33,495,2019-07-15 03:45:10
700015201907155017,700015,驱蚊贴,25,29,725,2019-07-15 06:50:17
700014201907152405,700014,消毒液,28,13,364,2019-07-15 07:24:05
700015201907153631,700015,驱蚊贴,25,27,675,2019-07-15 08:36:31
700014201907155722,700014,消毒液,28,17,476,2019-07-15 10:57:22
700014201907150656,700014,消毒液,28,13,364,2019-07-15 13:06:56
700010201907153108,700010,儿童口罩,20,35,700,2019-07-15 15:31:08
700011201907153108,700011,袜子,5,5,25,2019-07-15 15:31:08
700014201907153552,700014,消毒液,28,11,308,2019-07-15 15:35:52
700010201907155048,700010,儿童口罩,20,35,700,2019-07-15 15:50:48
700011201907155048,700011,袜子,5,7,35,2019-07-15 15:50:48
700014201907151118,700014,消毒液,28,23,644,2019-07-15 16:11:18
700010201907152659,700010,儿童口罩,20,34,680,2019-07-15 16:26:59
700011201907152659,700011,袜子,5,6,30,2019-07-15 16:26:59
700010201907152806,700010,儿童口罩,20,34,680,2019-07-15 17:28:06
700010201907150454,700010,儿童口罩,20,34,680,2019-07-15 18:04:54
700010201907153044,700010,儿童口罩,20,32,640,2019-07-15 19:30:44
700012201907151748,700012,隔汗巾,8,18,144,2019-07-15 20:17:48
700014201907153851,700014,消毒液,28,19,532,2019-07-15 20:38:51
700010201907152502,700010,儿童口罩,20,30,600,2019-07-15 21:25:02
700010201907152617,700010,儿童口罩,20,30,600,2019-07-15 23:26:17
700015201907163619,700015,驱蚊贴,25,15,375,2019-07-16 02:36:19
700010201907160433,700010,儿童口罩,20,20,400,2019-07-16 07:04:33
700012201907161340,700012,隔汗巾,8,11,88,2019-07-16 07:13:40
700010201907162432,700010,儿童口罩,20,26,520,2019-07-16 07:24:32
700010201907164858,700010,儿童口罩,20,20,400,2019-07-16 07:48:58
700010201907161744,700010,儿童口罩,20,45,900,2019-07-16 08:17:44
700014201907165610,700014,消毒液,28,8,224,2019-07-16 08:56:10
700010201907165630,700010,儿童口罩,20,15,300,2019-07-16 08:56:30
700014201907162832,700014,消毒液,28,24,672,2019-07-16 09:28:32
700013201907163601,700013,酒精棉片,15,14,210,2019-07-16 09:36:01
700010201907163615,700010,儿童口罩,20,15,300,2019-07-16 09:36:15
700010201907164325,700010,儿童口罩,20,15,300,2019-07-16 11:43:25
700014201907165919,700014,消毒液,28,17,476,2019-07-16 12:59:19
700010201907161818,700010,儿童口罩,20,25,500,2019-07-16 13:18:18
700010201907165733,700010,儿童口罩,20,15,300,2019-07-16 13:57:33
700010201907162052,700010,儿童口罩,20,20,400,2019-07-16 15:20:52
700012201907164906,700012,隔汗巾,8,8,64,2019-07-16 15:49:06
700014201907162245,700014,消毒液,28,14,392,2019-07-16 17:22:45
700014201907161130,700014,消毒液,28,16,448,2019-07-16 18:11:30
700012201907162356,700012,隔汗巾,8,13,104,2019-07-16 18:23:56
700015201907163437,700015,驱蚊贴,25,6,150,2019-07-16 18:34:37
700014201907163715,700014,消毒液,28,15,420,2019-07-16 19:37:15
700014201907161302,700014,消毒液,28,11,308,2019-07-16 21:13:02
700012201907162648,700012,隔汗巾,8,19,152,2019-07-16 23:26:48
700014201907172920,700014,消毒液,28,6,168,2019-07-17 00:29:20
700014201907175518,700014,消毒液,28,18,504,2019-07-17 01:55:18
700014201907173253,700014,消毒液,28,15,420,2019-07-17 02:32:53
700012201907175704,700012,隔汗巾,8,4,32,2019-07-17 10:57:04
700010201907174758,700010,儿童口罩,20,20,400,2019-07-17 16:47:58
700010201907174140,700010,儿童口罩,20,22,440,2019-07-17 17:41:40
700012201907172058,700012,隔汗巾,8,17,136,2019-07-17 18:20:58
700010201907174645,700010,儿童口罩,20,19,380,2019-07-17 19:46:45
700010201907174119,700010,儿童口罩,20,23,460,2019-07-17 21:41:19
700012201907175022,700012,隔汗巾,8,16,128,2019-07-17 21:50:22
700010201907175717,700010,儿童口罩,20,10,200,2019-07-17 21:57:17
700010201907171711,700010,儿童口罩,20,30,600,2019-07-17 23:17:11
700010201907172151,700010,儿童口罩,20,30,600,2019-07-17 23:21:51
700013201907181730,700013,酒精棉片,15,10,150,2019-07-18 00:17:30
700015201907180311,700015,驱蚊贴,25,8,200,2019-07-18 01:03:11
700012201907180516,700012,隔汗巾,8,12,96,2019-07-18 03:05:16
700014201907180707,700014,消毒液,28,22,616,2019-07-18 05:07:07
700012201907180621,700012,隔汗巾,8,6,48,2019-07-18 08:06:21
700010201907184051,700010,儿童口罩,20,12,240,2019-07-18 08:40:51
700010201907185134,700010,儿童口罩,20,25,500,2019-07-18 09:51:34
700010201907185830,700010,儿童口罩,20,25,500,2019-07-18 09:58:30
700010201907180834,700010,儿童口罩,20,25,500,2019-07-18 10:08:34
700015201907184748,700015,驱蚊贴,25,23,575,2019-07-18 11:47:48
700012201907185701,700012,隔汗巾,8,1,8,2019-07-18 13:57:01
700010201907180951,700010,儿童口罩,20,15,300,2019-07-18 14:09:51
700010201907181457,700010,儿童口罩,20,17,340,2019-07-18 14:14:57
700014201907184157,700014,消毒液,28,23,644,2019-07-18 14:41:57
700010201907183238,700010,儿童口罩,20,15,300,2019-07-18 16:32:38
700012201907183400,700012,隔汗巾,8,12,96,2019-07-18 19:34:00
700014201907181431,700014,消毒液,28,19,532,2019-07-18 23:14:31
700015201907182334,700015,驱蚊贴,25,18,450,2019-07-18 23:23:34
700012201907193603,700012,隔汗巾,8,8,64,2019-07-19 02:36:03
700014201907195305,700014,消毒液,28,13,364,2019-07-19 07:53:05
700015201907194834,700015,驱蚊贴,25,19,475,2019-07-19 10:48:34
700010201907192824,700010,儿童口罩,20,18,360,2019-07-19 14:28:24
700010201907192757,700010,儿童口罩,20,17,340,2019-07-19 15:27:57
700010201907191234,700010,儿童口罩,20,15,300,2019-07-19 16:12:34
700012201907194352,700012,隔汗巾,8,8,64,2019-07-19 19:43:52
700010201907190101,700010,儿童口罩,20,29,580,2019-07-19 20:01:01
700010201907194100,700010,儿童口罩,20,19,380,2019-07-19 20:41:00
700010201907191358,700010,儿童口罩,20,19,380,2019-07-19 21:13:58
700010201907190828,700010,儿童口罩,20,20,400,2019-07-19 23:08:28
700010201907192501,700010,儿童口罩,20,20,400,2019-07-19 23:25:01
700014201907195456,700014,消毒液,28,23,644,2019-07-19 23:54:56
700012201907200905,700012,隔汗巾,8,20,160,2019-07-20 01:09:05
700014201907202353,700014,消毒液,28,21,588,2019-07-20 07:23:53
700014201907200343,700014,消毒液,28,13,364,2019-07-20 08:03:43
700010201907203949,700010,儿童口罩,20,20,400,2019-07-20 08:39:49
700012201907204437,700012,隔汗巾,8,6,48,2019-07-20 08:44:37
700010201907204957,700010,儿童口罩,20,15,300,2019-07-20 08:49:57
700010201907202747,700010,儿童口罩,20,25,500,2019-07-20 10:27:47
700010201907202851,700010,儿童口罩,20,15,300,2019-07-20 11:28:51
700015201907203545,700015,驱蚊贴,25,11,275,2019-07-20 11:35:45
700010201907201257,700010,儿童口罩,20,12,240,2019-07-20 13:12:57
700010201907203451,700010,儿童口罩,20,12,240,2019-07-20 13:34:51
700010201907203745,700010,儿童口罩,20,12,240,2019-07-20 15:37:45
700010201907204003,700010,儿童口罩,20,23,460,2019-07-20 16:40:03
700012201907201648,700012,隔汗巾,8,3,24,2019-07-20 17:16:48
700010201907202841,700010,儿童口罩,20,23,460,2019-07-20 20:28:41
700014201907213131,700014,消毒液,28,16,448,2019-07-21 00:31:31
700014201907214812,700014,消毒液,28,11,308,2019-07-21 02:48:12
700014201907215250,700014,消毒液,28,7,196,2019-07-21 10:52:50
700012201907210909,700012,隔汗巾,8,18,144,2019-07-21 12:09:09
700014201907213454,700014,消毒液,28,8,224,2019-07-21 13:34:54
700014201907214825,700014,消毒液,28,22,616,2019-07-21 13:48:25
700010201907214925,700010,儿童口罩,20,23,460,2019-07-21 13:49:25
700010201907214626,700010,儿童口罩,20,15,300,2019-07-21 14:46:26
700014201907210501,700014,消毒液,28,22,616,2019-07-21 15:05:01
700014201907211401,700014,消毒液,28,13,364,2019-07-21 20:14:01
700014201907215720,700014,消毒液,28,20,560,2019-07-21 21:57:20
700010201907211758,700010,儿童口罩,20,15,300,2019-07-21 22:17:58
700014201907211349,700014,消毒液,28,5,140,2019-07-21 23:13:49
700010201907213830,700010,儿童口罩,20,15,300,2019-07-21 23:38:30
700014201907224414,700014,消毒液,28,18,504,2019-07-22 03:44:14
700014201907224702,700014,消毒液,28,16,448,2019-07-22 06:47:02
700010201907223139,700010,儿童口罩,20,16,320,2019-07-22 08:31:39
700012201907223342,700012,隔汗巾,8,11,88,2019-07-22 08:33:42
700015201907220859,700015,驱蚊贴,25,7,175,2019-07-22 09:08:59
700010201907221316,700010,儿童口罩,20,16,320,2019-07-22 09:13:16
700010201907225129,700010,儿童口罩,20,16,320,2019-07-22 09:51:29
700010201907220116,700010,儿童口罩,20,18,360,2019-07-22 10:01:16
700010201907220351,700010,儿童口罩,20,18,360,2019-07-22 11:03:51
700010201907221354,700010,儿童口罩,20,18,360,2019-07-22 11:13:54
700010201907224719,700010,儿童口罩,20,15,300,2019-07-22 12:47:19
700013201907221852,700013,酒精棉片,15,48,720,2019-07-22 13:18:52
700014201907220111,700014,消毒液,28,16,448,2019-07-22 14:01:11
700010201907220442,700010,儿童口罩,20,15,300,2019-07-22 14:04:42
700014201907221818,700014,消毒液,28,12,336,2019-07-22 14:18:18
700010201907225655,700010,儿童口罩,20,15,300,2019-07-22 14:56:55
700010201907221847,700010,儿童口罩,20,10,200,2019-07-22 16:18:47
700014201907224921,700014,消毒液,28,9,252,2019-07-22 16:49:21
