date,category,module,turnover
 2018/05/08,餐饮,西餐,25820
 2018/05/08,餐饮,面包甜点,28380
 2018/05/08,服务,丽人,41423
 2018/05/08,零售,商超,227224
 2018/05/08,服务,运动健身,72683
 2018/05/08,服务,按摩,77132
 2018/05/08,零售,女装,344436
 2018/05/08,服务,教育,91854
 2018/05/08,餐饮,中餐,219936
 2018/05/08,娱乐,KTV,72841
 2018/05/08,娱乐,电影院,170345
 2018/05/09,零售,电子产品,39036
 2018/05/09,娱乐,游戏厅,2495
 2018/05/09,零售,童装,48364
 2018/05/09,零售,男装,53416
 2018/05/09,餐饮,快餐,17209
 2018/05/09,餐饮,西餐,25481
 2018/05/09,餐饮,面包甜点,28102
 2018/05/09,服务,丽人,40673
 2018/05/09,零售,商超,224220
 2018/05/09,服务,运动健身,71989
 2018/05/09,服务,按摩,77000
 2018/05/09,零售,女装,339664
 2018/05/09,服务,教育,91128
 2018/05/09,餐饮,中餐,216718
 2018/05/09,娱乐,KTV,71201
 2018/05/09,娱乐,电影院,177886
 2018/05/10,零售,电子产品,38824
 2018/05/10,娱乐,游戏厅,2475
 2018/05/10,零售,童装,47604
 2018/05/10,零售,男装,52820
 2018/05/10,餐饮,快餐,16962
 2018/05/10,餐饮,西餐,25021
 2018/05/10,餐饮,面包甜点,27037
 2018/05/10,服务,丽人,40178
 2018/05/10,零售,商超,220664
 2018/05/10,服务,运动健身,71038
 2018/05/10,服务,按摩,76722
 2018/05/10,零售,女装,332728
 2018/05/10,服务,教育,91268
 2018/05/10,餐饮,中餐,212819
 2018/05/10,娱乐,KTV,69146
 2018/05/10,娱乐,电影院,188085
 2018/05/11,娱乐,游戏厅,2329
 2018/05/11,零售,电子产品,37580
 2018/05/11,零售,童装,45668
 2018/05/11,零售,男装,49932
 2018/05/11,餐饮,快餐,15742
 2018/05/11,餐饮,西餐,23439
 2018/05/11,餐饮,面包甜点,24464
 2018/05/11,服务,丽人,37435
 2018/05/11,零售,商超,207964
 2018/05/11,服务,运动健身,66298
 2018/05/11,服务,按摩,69437
 2018/05/11,零售,女装,313200
 2018/05/11,服务,教育,84968
 2018/05/11,餐饮,中餐,197294
 2018/05/11,娱乐,KTV,61080
 2018/05/11,娱乐,电影院,230250
 2018/05/12,零售,电子产品,34100
 2018/05/12,娱乐,游戏厅,2217
 2018/05/12,零售,童装,41652
 2018/05/12,零售,男装,45752
 2018/05/12,餐饮,快餐,14156
 2018/05/12,餐饮,面包甜点,20962
 2018/05/12,餐饮,西餐,21183
 2018/05/12,服务,丽人,32475
 2018/05/12,零售,商超,186952
 2018/05/12,服务,运动健身,63163
 2018/05/12,零售,女装,278024
 2018/05/12,服务,按摩,71429
 2018/05/12,服务,教育,83337
 2018/05/12,餐饮,中餐,177957
 2018/05/12,娱乐,KTV,52991
 2018/05/12,娱乐,电影院,273180
 2018/05/13,零售,电子产品,34708
 2018/05/13,娱乐,游戏厅,2250
 2018/05/13,零售,童装,41712
 2018/05/13,零售,男装,45904
 2018/05/13,餐饮,快餐,14576
 2018/05/13,餐饮,西餐,21674
 2018/05/13,餐饮,面包甜点,22497
 2018/05/13,服务,丽人,32943
 2018/05/13,零售,商超,188336
 2018/05/13,服务,运动健身,64635
 2018/05/13,零售,女装,283120
 2018/05/13,服务,按摩,73088
 2018/05/13,服务,教育,84649
 2018/05/13,餐饮,中餐,180847
 2018/05/13,娱乐,KTV,56427
 2018/05/13,娱乐,电影院,250408
 2018/05/14,零售,电子产品,38592
 2018/05/14,娱乐,游戏厅,2500
 2018/05/14,零售,童装,47928
 2018/05/14,零售,男装,52760
 2018/05/14,餐饮,快餐,16713
 2018/05/14,餐饮,西餐,25071
 2018/05/14,餐饮,面包甜点,27353
 2018/05/14,服务,丽人,39810
 2018/05/14,零售,商超,219780
 2018/05/14,服务,运动健身,70975
 2018/05/14,服务,按摩,74724
 2018/05/14,零售,女装,331616
 2018/05/14,服务,教育,90105
 2018/05/14,餐饮,中餐,211778
 2018/05/14,娱乐,KTV,71268
 2018/05/14,娱乐,电影院,179712
 2018/05/15,零售,电子产品,39056
 2018/05/15,娱乐,游戏厅,2475
 2018/05/15,零售,童装,47792
 2018/05/15,零售,男装,52972
 2018/05/15,餐饮,快餐,16764
 2018/05/15,餐饮,西餐,25178
 2018/05/15,餐饮,面包甜点,27012
 2018/05/15,服务,丽人,39930
 2018/05/15,零售,商超,220188
 2018/05/15,服务,运动健身,70948
 2018/05/15,服务,按摩,74222
 2018/05/15,零售,女装,331260
 2018/05/15,服务,教育,89542
 2018/05/15,餐饮,中餐,211321
 2018/05/15,娱乐,KTV,70513
 2018/05/15,娱乐,电影院,183802
 2018/05/16,零售,电子产品,39204
 2018/05/16,娱乐,游戏厅,2456
 2018/05/16,零售,童装,48084
 2018/05/16,零售,男装,52952
 2018/05/16,餐饮,快餐,16395
 2018/05/16,餐饮,西餐,24901
 2018/05/16,餐饮,面包甜点,26485
 2018/05/16,服务,丽人,39836
 2018/05/16,零售,商超,218632
 2018/05/16,服务,运动健身,70340
 2018/05/16,服务,按摩,73853
 2018/05/16,零售,女装,330592
 2018/05/16,服务,教育,88955
 2018/05/16,餐饮,中餐,209975
 2018/05/16,娱乐,KTV,69256
 2018/05/16,娱乐,电影院,190776
 2018/05/17,娱乐,游戏厅,2404
 2018/05/17,零售,电子产品,38860
 2018/05/17,零售,童装,47284
 2018/05/17,零售,男装,51844
 2018/05/17,餐饮,快餐,16016
 2018/05/17,餐饮,西餐,24616
 2018/05/17,餐饮,面包甜点,26060
 2018/05/17,服务,丽人,38968
 2018/05/17,零售,商超,215196
 2018/05/17,服务,运动健身,69327
 2018/05/17,服务,按摩,72782
 2018/05/17,零售,女装,323716
 2018/05/17,服务,教育,88510
 2018/05/17,餐饮,中餐,206002
 2018/05/17,娱乐,KTV,67298
 2018/05/17,娱乐,电影院,199806
 2018/05/18,娱乐,游戏厅,2303
 2018/05/18,零售,电子产品,37404
 2018/05/18,零售,童装,45352
 2018/05/18,零售,男装,49156
 2018/05/18,餐饮,快餐,15118
 2018/05/18,餐饮,西餐,23089
 2018/05/18,餐饮,面包甜点,23725
 2018/05/18,服务,丽人,36681
 2018/05/18,零售,商超,206460
 2018/05/18,服务,运动健身,64835
 2018/05/18,服务,按摩,66238
 2018/05/18,零售,女装,305136
 2018/05/18,服务,教育,82169
 2018/05/18,餐饮,中餐,193325
 2018/05/18,娱乐,KTV,60482
 2018/05/18,娱乐,电影院,236065
 2018/05/19,零售,电子产品,34204
 2018/05/19,娱乐,游戏厅,2148
 2018/05/19,零售,童装,41432
 2018/05/19,零售,男装,45140
 2018/05/19,餐饮,快餐,13393
 2018/05/19,餐饮,面包甜点,20210
 2018/05/19,餐饮,西餐,20794
 2018/05/19,服务,丽人,31857
 2018/05/19,零售,商超,185744
 2018/05/19,服务,运动健身,61930
 2018/05/19,零售,女装,273612
 2018/05/19,服务,按摩,69632
 2018/05/19,服务,教育,82131
 2018/05/19,餐饮,中餐,172789
 2018/05/19,娱乐,KTV,51993
 2018/05/19,娱乐,电影院,278769
 2018/05/20,零售,电子产品,34596
 2018/05/20,娱乐,游戏厅,2199
 2018/05/20,零售,童装,41076
 2018/05/20,零售,男装,44704
 2018/05/20,餐饮,快餐,13359
 2018/05/20,餐饮,西餐,20600
 2018/05/20,餐饮,面包甜点,21192
 2018/05/20,服务,丽人,32053
 2018/05/20,零售,商超,186040
 2018/05/20,服务,运动健身,64057
 2018/05/20,零售,女装,274284
 2018/05/20,服务,按摩,72553
 2018/05/20,服务,教育,83862
 2018/05/20,餐饮,中餐,172848
 2018/05/20,娱乐,KTV,53817
 2018/05/20,娱乐,电影院,265570
 2018/05/21,娱乐,游戏厅,2426
 2018/05/21,零售,电子产品,38872
 2018/05/21,零售,童装,47220
 2018/05/21,零售,男装,51720
 2018/05/21,餐饮,快餐,16170
 2018/05/21,餐饮,西餐,24442
 2018/05/21,餐饮,面包甜点,26185
 2018/05/21,服务,丽人,38854
 2018/05/21,零售,商超,217020
 2018/05/21,服务,运动健身,70303
 2018/05/21,服务,按摩,74235
 2018/05/21,零售,女装,322688
 2018/05/21,服务,教育,89685
 2018/05/21,餐饮,中餐,205396
 2018/05/21,娱乐,KTV,68724
 2018/05/21,娱乐,电影院,192996
 2018/05/22,零售,电子产品,39456
 2018/05/22,娱乐,游戏厅,2519
 2018/05/22,零售,童装,47764
 2018/05/22,零售,男装,52228
 2018/05/22,餐饮,快餐,16525
 2018/05/22,餐饮,西餐,24453
 2018/05/22,餐饮,面包甜点,26259
 2018/05/22,服务,丽人,39163
 2018/05/22,零售,商超,218008
 2018/05/22,服务,运动健身,70985
 2018/05/22,服务,按摩,74711
 2018/05/22,零售,女装,325536
 2018/05/22,服务,教育,89579
 2018/05/22,餐饮,中餐,207572
 2018/05/22,娱乐,KTV,68996
 2018/05/22,娱乐,电影院,192139
 2018/05/23,零售,电子产品,39052
 2018/05/23,娱乐,游戏厅,2520
 2018/05/23,零售,童装,47484
 2018/05/23,零售,男装,51456
 2018/05/23,餐饮,快餐,16459
 2018/05/23,餐饮,西餐,24408
 2018/05/23,餐饮,面包甜点,26176
 2018/05/23,服务,丽人,39167
 2018/05/23,零售,商超,216624
 2018/05/23,服务,运动健身,70114
 2018/05/23,服务,按摩,74164
 2018/05/23,零售,女装,324296
 2018/05/23,服务,教育,88909
 2018/05/23,餐饮,中餐,206576
 2018/05/23,娱乐,KTV,68212
 2018/05/23,娱乐,电影院,195641
 2018/05/24,零售,电子产品,38596
 2018/05/24,娱乐,游戏厅,2476
 2018/05/24,零售,童装,46988
 2018/05/24,零售,男装,50916
 2018/05/24,餐饮,快餐,16339
 2018/05/24,餐饮,西餐,24094
 2018/05/24,餐饮,面包甜点,25630
 2018/05/24,服务,丽人,38702
 2018/05/24,零售,商超,213828
 2018/05/24,服务,运动健身,69658
 2018/05/24,服务,按摩,72993
 2018/05/24,零售,女装,320168
 2018/05/24,服务,教育,88054
 2018/05/24,餐饮,中餐,203225
 2018/05/24,娱乐,KTV,66034
 2018/05/24,娱乐,电影院,205104
 2018/05/25,零售,电子产品,37196
 2018/05/25,娱乐,游戏厅,2364
 2018/05/25,零售,童装,45244
 2018/05/25,零售,男装,48368
 2018/05/25,餐饮,快餐,15192
 2018/05/25,餐饮,西餐,22663
 2018/05/25,餐饮,面包甜点,23324
 2018/05/25,服务,丽人,35881
 2018/05/25,零售,商超,203928
 2018/05/25,服务,运动健身,65209
 2018/05/25,服务,按摩,66876
 2018/05/25,零售,女装,302420
 2018/05/25,服务,教育,82589
 2018/05/25,餐饮,中餐,191095
 2018/05/25,娱乐,KTV,59248
 2018/05/25,娱乐,电影院,242009
 2018/05/26,零售,电子产品,34724
 2018/05/26,娱乐,游戏厅,2242
 2018/05/26,零售,童装,42052
 2018/05/26,零售,男装,44520
 2018/05/26,餐饮,快餐,13582
 2018/05/26,餐饮,面包甜点,20112
 2018/05/26,餐饮,西餐,20470
 2018/05/26,服务,丽人,31551
 2018/05/26,零售,商超,183828
 2018/05/26,服务,运动健身,61850
 2018/05/26,零售,女装,271456
 2018/05/26,服务,按摩,69800
 2018/05/26,服务,教育,81843
 2018/05/26,餐饮,中餐,172136
 2018/05/26,娱乐,KTV,51016
 2018/05/26,娱乐,电影院,282622
 2018/05/27,零售,电子产品,34804
 2018/05/27,娱乐,游戏厅,2309
 2018/05/27,零售,童装,41964
 2018/05/27,零售,男装,45468
 2018/05/27,餐饮,快餐,14112
 2018/05/27,餐饮,西餐,21131
 2018/05/27,餐饮,面包甜点,21575
 2018/05/27,服务,丽人,32185
 2018/05/27,零售,商超,185328
 2018/05/27,服务,运动健身,64313
 2018/05/27,零售,女装,278020
 2018/05/27,服务,按摩,73407
 2018/05/27,服务,教育,84612
 2018/05/27,餐饮,中餐,176499
 2018/05/27,娱乐,KTV,54483
 2018/05/27,娱乐,电影院,260228
 2018/05/28,零售,电子产品,38564
 2018/05/28,娱乐,游戏厅,2548
 2018/05/28,零售,童装,47688
 2018/05/28,零售,男装,51108
 2018/05/28,餐饮,快餐,16402
 2018/05/28,餐饮,西餐,24320
 2018/05/28,餐饮,面包甜点,25896
 2018/05/28,服务,丽人,38527
 2018/05/28,零售,商超,214852
 2018/05/28,服务,运动健身,69830
 2018/05/28,服务,按摩,72440
 2018/05/28,零售,女装,320952
 2018/05/28,服务,教育,87831
 2018/05/28,餐饮,中餐,204319
 2018/05/28,娱乐,KTV,66909
 2018/05/28,娱乐,电影院,199494
 2018/05/29,零售,电子产品,39280
 2018/05/29,娱乐,游戏厅,2564
 2018/05/29,零售,童装,47760
 2018/05/29,零售,男装,51556
 2018/05/29,餐饮,快餐,16521
 2018/05/29,餐饮,西餐,24515
 2018/05/29,餐饮,面包甜点,26128
 2018/05/29,服务,丽人,38977
 2018/05/29,零售,商超,215400
 2018/05/29,服务,运动健身,69948
 2018/05/29,服务,按摩,73241
 2018/05/29,零售,女装,323164
 2018/05/29,服务,教育,87612
 2018/05/29,餐饮,中餐,204707
 2018/05/29,娱乐,KTV,66337
 2018/05/29,娱乐,电影院,201692
 2018/05/30,零售,电子产品,38840
 2018/05/30,娱乐,游戏厅,2486
 2018/05/30,零售,童装,47644
 2018/05/30,零售,男装,50460
 2018/05/30,餐饮,快餐,16500
 2018/05/30,餐饮,西餐,24057
 2018/05/30,餐饮,面包甜点,25632
 2018/05/30,服务,丽人,38301
 2018/05/30,零售,商超,213700
 2018/05/30,服务,运动健身,68810
 2018/05/30,服务,按摩,71375
 2018/05/30,零售,女装,321116
 2018/05/30,服务,教育,86946
 2018/05/30,餐饮,中餐,202739
 2018/05/30,娱乐,KTV,64576
 2018/05/30,娱乐,电影院,209242
 2018/05/31,零售,电子产品,38408
 2018/05/31,娱乐,游戏厅,2423
 2018/05/31,零售,童装,47036
 2018/05/31,零售,男装,49456
 2018/05/31,餐饮,快餐,16121
 2018/05/31,餐饮,西餐,23322
 2018/05/31,餐饮,面包甜点,24834
 2018/05/31,服务,丽人,37126
 2018/05/31,零售,商超,208916
 2018/05/31,服务,运动健身,65872
 2018/05/31,服务,按摩,66301
 2018/05/31,零售,女装,312572
 2018/05/31,服务,教育,82488
 2018/05/31,餐饮,中餐,196690
 2018/05/31,娱乐,KTV,61495
 2018/05/31,娱乐,电影院,223600
 2018/06/01,娱乐,游戏厅,2271
 2018/06/01,零售,电子产品,36588
 2018/06/01,零售,童装,45120
 2018/06/01,零售,男装,46944
 2018/06/01,餐饮,快餐,14999
 2018/06/01,餐饮,西餐,21954
 2018/06/01,餐饮,面包甜点,22403
 2018/06/01,服务,丽人,34190
 2018/06/01,零售,商超,197596
 2018/06/01,服务,按摩,60788
 2018/06/01,服务,运动健身,61006
 2018/06/01,零售,女装,290520
 2018/06/01,服务,教育,76978
 2018/06/01,餐饮,中餐,182870
 2018/06/01,娱乐,KTV,53931
 2018/06/01,娱乐,电影院,263993
 2018/06/02,零售,电子产品,34528
 2018/06/02,娱乐,游戏厅,2185
 2018/06/02,零售,童装,42136
 2018/06/02,零售,男装,43088
 2018/06/02,餐饮,快餐,13879
 2018/06/02,餐饮,面包甜点,20047
 2018/06/02,餐饮,西餐,20458
 2018/06/02,服务,丽人,30530
 2018/06/02,零售,商超,180432
 2018/06/02,服务,运动健身,59787
 2018/06/02,服务,按摩,65458
 2018/06/02,零售,女装,266356
 2018/06/02,服务,教育,77748
 2018/06/02,餐饮,中餐,170043
 2018/06/02,娱乐,KTV,48548
 2018/06/02,娱乐,电影院,292822
 2018/06/03,零售,电子产品,35172
 2018/06/03,娱乐,游戏厅,2286
 2018/06/03,零售,童装,43236
 2018/06/03,零售,男装,44660
 2018/06/03,餐饮,快餐,14587
 2018/06/03,餐饮,西餐,20994
 2018/06/03,餐饮,面包甜点,21796
 2018/06/03,服务,丽人,31829
 2018/06/03,零售,商超,185284
 2018/06/03,服务,运动健身,62911
 2018/06/03,零售,女装,275644
 2018/06/03,服务,按摩,70740
 2018/06/03,服务,教育,82227
 2018/06/03,餐饮,中餐,175487
 2018/06/03,娱乐,KTV,52295
 2018/06/03,娱乐,电影院,270057
 2018/06/04,零售,电子产品,39100
 2018/06/04,娱乐,游戏厅,2494
 2018/06/04,零售,童装,48724
 2018/06/04,零售,男装,50380
 2018/06/04,餐饮,快餐,16710
 2018/06/04,餐饮,西餐,24159
 2018/06/04,餐饮,面包甜点,25774
 2018/06/04,服务,丽人,37948
 2018/06/04,零售,商超,212676
 2018/06/04,服务,运动健身,68402
 2018/06/04,服务,按摩,71862
 2018/06/04,零售,女装,317212
 2018/06/04,服务,教育,86371
 2018/06/04,餐饮,中餐,202028
 2018/06/04,娱乐,KTV,63116
 2018/06/04,娱乐,电影院,214381
 2018/06/05,零售,电子产品,38924
 2018/06/05,娱乐,游戏厅,2484
 2018/06/05,零售,童装,48876
 2018/06/05,零售,男装,50876
 2018/06/05,餐饮,快餐,16925
 2018/06/05,餐饮,西餐,24383
 2018/06/05,餐饮,面包甜点,25721
 2018/06/05,服务,丽人,38070
 2018/06/05,零售,商超,212564
 2018/06/05,服务,运动健身,68484
 2018/06/05,服务,按摩,71688
 2018/06/05,零售,女装,320964
 2018/06/05,服务,教育,86541
 2018/06/05,餐饮,中餐,202817
 2018/06/05,娱乐,KTV,62240
 2018/06/05,娱乐,电影院,217243
 2018/06/06,零售,电子产品,38308
 2018/06/06,娱乐,游戏厅,2439
 2018/06/06,零售,童装,47784
 2018/06/06,零售,男装,49508
 2018/06/06,餐饮,快餐,16641
 2018/06/06,餐饮,西餐,23759
 2018/06/06,餐饮,面包甜点,24940
 2018/06/06,服务,丽人,37292
 2018/06/06,零售,商超,208776
 2018/06/06,服务,运动健身,67080
 2018/06/06,服务,按摩,70264
 2018/06/06,零售,女装,313904
 2018/06/06,服务,教育,84940
 2018/06/06,餐饮,中餐,198199
 2018/06/06,娱乐,KTV,59673
 2018/06/06,娱乐,电影院,229357
 2018/06/07,零售,电子产品,39252
 2018/06/07,娱乐,游戏厅,2470
 2018/06/07,零售,童装,48212
 2018/06/07,零售,男装,49536
 2018/06/07,餐饮,快餐,16633
 2018/06/07,餐饮,西餐,23696
 2018/06/07,餐饮,面包甜点,24644
 2018/06/07,服务,丽人,36894
 2018/06/07,零售,商超,208456
 2018/06/07,服务,运动健身,66623
 2018/06/07,服务,按摩,70762
 2018/06/07,零售,女装,312056
 2018/06/07,服务,教育,85518
 2018/06/07,餐饮,中餐,196283
 2018/06/07,娱乐,KTV,58202
 2018/06/07,娱乐,电影院,236397
 2018/06/08,零售,电子产品,37280
 2018/06/08,娱乐,游戏厅,2340
 2018/06/08,零售,童装,46408
 2018/06/08,零售,男装,47680
 2018/06/08,餐饮,快餐,15603
 2018/06/08,餐饮,西餐,22521
 2018/06/08,餐饮,面包甜点,22947
 2018/06/08,服务,丽人,34724
 2018/06/08,零售,商超,201316
 2018/06/08,服务,运动健身,63452
 2018/06/08,服务,按摩,66049
 2018/06/08,零售,女装,298316
 2018/06/08,服务,教育,81752
 2018/06/08,餐饮,中餐,186734
 2018/06/08,娱乐,KTV,52823
 2018/06/08,娱乐,电影院,263942
 2018/06/09,零售,电子产品,35244
 2018/06/09,娱乐,游戏厅,2204
 2018/06/09,零售,童装,42656
 2018/06/09,零售,男装,43904
 2018/06/09,餐饮,快餐,14369
 2018/06/09,餐饮,面包甜点,20087
 2018/06/09,餐饮,西餐,20546
 2018/06/09,服务,丽人,30495
 2018/06/09,零售,商超,181388
 2018/06/09,服务,运动健身,60378
 2018/06/09,零售,女装,268796
 2018/06/09,服务,按摩,68969
 2018/06/09,服务,教育,81264
 2018/06/09,餐饮,中餐,170452
 2018/06/09,娱乐,KTV,46962
 2018/06/09,娱乐,电影院,289286
 2018/06/10,零售,电子产品,35772
 2018/06/10,娱乐,游戏厅,2237
 2018/06/10,零售,童装,42760
 2018/06/10,零售,男装,44056
 2018/06/10,餐饮,快餐,14637
 2018/06/10,餐饮,西餐,21119
 2018/06/10,餐饮,面包甜点,21520
 2018/06/10,服务,丽人,31565
 2018/06/10,零售,商超,184524
 2018/06/10,服务,运动健身,62658
 2018/06/10,零售,女装,277440
 2018/06/10,服务,按摩,72345
 2018/06/10,服务,教育,84294
 2018/06/10,餐饮,中餐,175118
 2018/06/10,娱乐,KTV,49584
 2018/06/10,娱乐,电影院,268184
 2018/06/11,娱乐,游戏厅,2495
 2018/06/11,零售,电子产品,40104
 2018/06/11,零售,童装,47904
 2018/06/11,零售,男装,50372
 2018/06/11,餐饮,快餐,16364
 2018/06/11,餐饮,西餐,23981
 2018/06/11,餐饮,面包甜点,24764
 2018/06/11,服务,丽人,37500
 2018/06/11,零售,商超,212296
 2018/06/11,服务,运动健身,67378
 2018/06/11,服务,按摩,70817
 2018/06/11,零售,女装,318560
 2018/06/11,服务,教育,86012
 2018/06/11,餐饮,中餐,199036
 2018/06/11,娱乐,KTV,58577
 2018/06/11,娱乐,电影院,217801
 2018/06/12,零售,电子产品,39836
 2018/06/12,娱乐,游戏厅,2507
 2018/06/12,零售,童装,48236
 2018/06/12,零售,男装,49804
 2018/06/12,餐饮,快餐,16401
 2018/06/12,餐饮,西餐,23998
 2018/06/12,餐饮,面包甜点,24517
 2018/06/12,服务,丽人,37391
 2018/06/12,零售,商超,212072
 2018/06/12,服务,运动健身,67029
 2018/06/12,服务,按摩,71541
 2018/06/12,零售,女装,319156
 2018/06/12,服务,教育,85963
 2018/06/12,餐饮,中餐,199158
 2018/06/12,娱乐,KTV,57680
 2018/06/12,娱乐,电影院,219527
 2018/06/13,零售,电子产品,39676
 2018/06/13,娱乐,游戏厅,2514
 2018/06/13,零售,童装,48012
 2018/06/13,零售,男装,50100
 2018/06/13,餐饮,快餐,16335
 2018/06/13,餐饮,西餐,23809
 2018/06/13,餐饮,面包甜点,24181
 2018/06/13,服务,丽人,36985
 2018/06/13,零售,商超,211940
 2018/06/13,服务,运动健身,66011
 2018/06/13,服务,按摩,70024
 2018/06/13,零售,女装,315564
 2018/06/13,服务,教育,85313
 2018/06/13,餐饮,中餐,197364
 2018/06/13,娱乐,KTV,56012
 2018/06/13,娱乐,电影院,225759
 2018/06/14,娱乐,游戏厅,2444
 2018/06/14,零售,电子产品,39492
 2018/06/14,零售,童装,47148
 2018/06/14,零售,男装,49020
 2018/06/14,餐饮,快餐,15905
 2018/06/14,餐饮,西餐,23363
 2018/06/14,餐饮,面包甜点,23400
 2018/06/14,服务,丽人,36138
 2018/06/14,零售,商超,207604
 2018/06/14,服务,运动健身,64759
 2018/06/14,服务,按摩,67843
 2018/06/14,零售,女装,310328
 2018/06/14,服务,教育,83832
 2018/06/14,餐饮,中餐,192688
 2018/06/14,娱乐,KTV,54616
 2018/06/14,娱乐,电影院,233102
 2018/06/15,娱乐,游戏厅,2283
 2018/06/15,零售,电子产品,37828
 2018/06/15,零售,童装,45096
 2018/06/15,零售,男装,46572
 2018/06/15,餐饮,快餐,14672
 2018/06/15,餐饮,面包甜点,21615
 2018/06/15,餐饮,西餐,22187
 2018/06/15,服务,丽人,33187
 2018/06/15,零售,商超,196988
 2018/06/15,服务,运动健身,60509
 2018/06/15,服务,按摩,61507
 2018/06/15,零售,女装,292368
 2018/06/15,服务,教育,77755
 2018/06/15,餐饮,中餐,182673
 2018/06/15,娱乐,KTV,53363
 2018/06/15,娱乐,电影院,240190
 2018/06/16,娱乐,游戏厅,2130
 2018/06/16,零售,电子产品,34884
