Date,AveragePrice,region
2015/4/12,1.26,Boston
2015/4/5,1.27,Boston
2015/3/29,1.19,Boston
2015/3/22,1.18,Boston
2015/3/15,1.25,Boston
2015/3/8,1.17,Boston
2015/3/1,1.11,Boston
2015/2/22,1.23,Boston
2015/2/15,1.2,Boston
2015/2/8,1.04,Boston
2015/2/1,1.22,Boston
2015/1/25,1.17,Boston
2015/1/18,1.23,Boston
2015/1/11,1.1,Boston
2015/1/4,1.02,Boston
2015/12/27,1.35,BuffaloRochester
2015/12/20,1.37,BuffaloRochester
2015/12/13,1.35,BuffaloRochester
2015/12/6,1.23,BuffaloRochester
2015/11/29,1.39,BuffaloRochester
2015/11/22,1.4,BuffaloRochester
2015/11/15,1.36,BuffaloRochester
2015/11/8,1.3,BuffaloRochester
2015/11/1,1.23,BuffaloRochester
2015/10/25,1.36,BuffaloRochester
2015/10/18,1.29,BuffaloRochester
2015/10/11,1.3,BuffaloRochester
2015/10/4,1.33,BuffaloRochester
2015/9/27,1.31,BuffaloRochester
2015/9/20,1.54,BuffaloRochester
2015/9/13,1.59,BuffaloRochester
2015/9/6,1.56,BuffaloRochester
2015/8/30,1.38,BuffaloRochester
2015/8/23,1.49,BuffaloRochester
2015/8/16,1.5,BuffaloRochester
2015/8/9,1.47,BuffaloRochester
2015/8/2,1.47,BuffaloRochester
2015/7/26,1.39,BuffaloRochester
2015/7/19,1.36,BuffaloRochester
2015/7/12,1.45,BuffaloRochester
2015/7/5,1.47,BuffaloRochester
2015/6/28,1.36,BuffaloRochester
2015/6/21,1.5,BuffaloRochester
2015/6/14,1.34,BuffaloRochester
2015/6/7,1.38,BuffaloRochester
2015/5/31,1.4,BuffaloRochester
2015/5/24,1.43,BuffaloRochester
2015/5/17,1.35,BuffaloRochester
2015/5/10,1.33,BuffaloRochester
2015/5/3,1.42,BuffaloRochester
2015/4/26,1.41,BuffaloRochester
2015/4/19,1.42,BuffaloRochester
2015/4/12,1.42,BuffaloRochester
2015/4/5,1.44,BuffaloRochester
2015/3/29,1.39,BuffaloRochester
2015/3/22,1.4,BuffaloRochester
2015/3/15,1.47,BuffaloRochester
2015/3/8,1.35,BuffaloRochester
2015/3/1,1.43,BuffaloRochester
2015/2/22,1.41,BuffaloRochester
2015/2/15,1.44,BuffaloRochester
2015/2/8,1.36,BuffaloRochester
2015/2/1,1.33,BuffaloRochester
2015/1/25,1.5,BuffaloRochester
2015/1/18,1.52,BuffaloRochester
2015/1/11,1.54,BuffaloRochester
2015/1/4,1.4,BuffaloRochester
2015/12/27,0.9,California
2015/12/20,0.94,California
2015/12/13,0.87,California
2015/12/6,0.78,California
2015/11/29,0.91,California
2015/11/22,0.92,California
2015/11/15,0.83,California
2015/11/8,0.98,California
2015/11/1,0.95,California
2015/10/25,1.12,California
2015/10/18,1.07,California
2015/10/11,1.08,California
2015/10/4,1.02,California
2015/9/27,1.04,California
2015/9/20,1.14,California
2015/9/13,1.13,California
2015/9/6,1.09,California
2015/8/30,1.08,California
2015/8/23,1.18,California
2015/8/16,1.11,California
2015/8/9,1.1,California
2015/8/2,1.16,California
2015/7/26,1.13,California
2015/7/19,1.18,California
2015/7/12,1.13,California
2015/7/5,1.12,California
2015/6/28,1.1,California
2015/6/21,1.07,California
2015/6/14,0.97,California
2015/6/7,0.98,California
2015/5/31,0.98,California
2015/5/24,1.1,California
2015/5/17,1.08,California
2015/5/10,0.93,California
2015/5/3,0.88,California
2015/4/26,1.15,California
2015/4/19,1.05,California
2015/4/12,1.06,California
2015/4/5,1.12,California
2015/3/29,1.1,California
2015/3/22,1.06,California
2015/3/15,1.06,California
2015/3/8,0.96,California
2015/3/1,0.84,California
2015/2/22,0.96,California
2015/2/15,0.96,California
2015/2/8,0.91,California
2015/2/1,0.85,California
2015/1/25,1.06,California
2015/1/18,1.02,California
2015/1/11,0.92,California
2015/1/4,0.93,California
2015/12/27,0.96,Charlotte
2015/12/20,0.98,Charlotte
2015/12/13,0.95,Charlotte
2015/12/6,0.99,Charlotte
2015/11/29,0.95,Charlotte
2015/11/22,1,Charlotte
2015/11/15,1.01,Charlotte
2015/11/8,1.03,Charlotte
2015/11/1,1.11,Charlotte
2015/10/25,1.27,Charlotte
2015/10/18,1.26,Charlotte
2015/10/11,1.14,Charlotte
2015/10/4,1.22,Charlotte
2015/9/27,1.09,Charlotte
2015/9/20,1.2,Charlotte
2015/9/13,1.19,Charlotte
2015/9/6,1.01,Charlotte
2015/8/30,1.2,Charlotte
2015/8/23,1.15,Charlotte
2015/8/16,1.24,Charlotte
2015/8/9,1.21,Charlotte
2015/8/2,1.24,Charlotte
2015/7/26,1.23,Charlotte
2015/7/19,1.19,Charlotte
2015/7/12,1.18,Charlotte
2015/7/5,1.18,Charlotte
2015/6/28,1.17,Charlotte
2015/6/21,1.17,Charlotte
2015/6/14,1.15,Charlotte
2015/6/7,1.15,Charlotte
2015/5/31,1.19,Charlotte
2015/5/24,1.2,Charlotte
2015/5/17,1.21,Charlotte
2015/5/10,1.19,Charlotte
2015/5/3,1,Charlotte
2015/4/26,1.2,Charlotte
2015/4/19,1.18,Charlotte
2015/4/12,1.17,Charlotte
2015/4/5,1.19,Charlotte
2015/3/29,1.23,Charlotte
2015/3/22,1.19,Charlotte
2015/3/15,1.19,Charlotte
2015/3/8,1.25,Charlotte
2015/3/1,1.18,Charlotte
2015/2/22,1.08,Charlotte
2015/2/15,1.22,Charlotte
2015/2/8,1.17,Charlotte
2015/2/1,0.98,Charlotte
2015/1/25,1.18,Charlotte
2015/1/18,1.25,Charlotte
2015/1/11,1.26,Charlotte
2015/1/4,1.19,Charlotte
2015/12/27,0.93,Chicago
2015/12/20,0.91,Chicago
2015/12/13,1.07,Chicago
2015/12/6,1.14,Chicago
2015/11/29,1.11,Chicago
2015/11/22,0.94,Chicago
2015/11/15,1.17,Chicago
2015/11/8,1.01,Chicago
2015/11/1,1,Chicago
2015/10/25,1.12,Chicago
2015/10/18,1.15,Chicago
2015/10/11,1.08,Chicago
2015/10/4,1.18,Chicago
2015/9/27,1.15,Chicago
2015/9/20,1.19,Chicago
2015/9/13,1.19,Chicago
2015/9/6,1.11,Chicago
2015/8/30,1.12,Chicago
2015/8/23,1.2,Chicago
2015/8/16,1.16,Chicago
2015/8/9,1.25,Chicago
2015/8/2,1.27,Chicago
2015/7/26,1.12,Chicago
2015/7/19,1.24,Chicago
2015/7/12,1.26,Chicago
2015/7/5,1.24,Chicago
2015/6/28,1.21,Chicago
2015/6/21,1.24,Chicago
2015/6/14,1.21,Chicago
2015/6/7,1.24,Chicago
2015/5/31,1.26,Chicago
2015/5/24,1.23,Chicago
2015/5/17,1.23,Chicago
2015/5/10,1.23,Chicago
2015/5/3,1.04,Chicago
2015/4/26,1.24,Chicago
2015/4/19,1.24,Chicago
2015/4/12,1.24,Chicago
2015/4/5,1.27,Chicago
2015/3/29,1.22,Chicago
2015/3/22,1.21,Chicago
2015/3/15,1.09,Chicago
2015/3/8,1.18,Chicago
2015/3/1,1.09,Chicago
2015/2/22,1.18,Chicago
2015/2/15,1.17,Chicago
2015/2/8,1.13,Chicago
2015/2/1,0.91,Chicago
2015/1/25,1.22,Chicago
2015/1/18,1.14,Chicago
2015/1/11,1.15,Chicago
2015/1/4,1.11,Chicago
2015/12/27,0.87,CincinnatiDayton
2015/12/20,0.85,CincinnatiDayton
2015/12/13,0.79,CincinnatiDayton
2015/12/6,0.83,CincinnatiDayton
2015/11/29,0.88,CincinnatiDayton
2015/11/22,0.89,CincinnatiDayton
2015/11/15,0.88,CincinnatiDayton
2015/11/8,0.87,CincinnatiDayton
2015/11/1,0.93,CincinnatiDayton
2015/10/25,1.01,CincinnatiDayton
2015/10/18,0.98,CincinnatiDayton
2015/10/11,0.91,CincinnatiDayton
2015/10/4,0.93,CincinnatiDayton
2015/9/27,1.08,CincinnatiDayton
2015/9/20,1.05,CincinnatiDayton
2015/9/13,1.05,CincinnatiDayton
2015/9/6,1.02,CincinnatiDayton
2015/8/30,1.01,CincinnatiDayton
2015/8/23,1.05,CincinnatiDayton
2015/8/16,1.01,CincinnatiDayton
2015/8/9,1.08,CincinnatiDayton
2015/8/2,1.09,CincinnatiDayton
2015/7/26,1.03,CincinnatiDayton
2015/7/19,1.06,CincinnatiDayton
2015/7/12,1.03,CincinnatiDayton
2015/7/5,1.03,CincinnatiDayton
2015/6/28,1.01,CincinnatiDayton
2015/6/21,1.02,CincinnatiDayton
2015/6/14,1.05,CincinnatiDayton
2015/6/7,1.07,CincinnatiDayton
2015/5/31,1.06,CincinnatiDayton
2015/5/24,1.1,CincinnatiDayton
2015/5/17,1.04,CincinnatiDayton
2015/5/10,1.06,CincinnatiDayton
2015/5/3,1.08,CincinnatiDayton
2015/4/26,1.06,CincinnatiDayton
2015/4/19,1.02,CincinnatiDayton
2015/4/12,1.02,CincinnatiDayton
2015/4/5,1.06,CincinnatiDayton
2015/3/29,0.95,CincinnatiDayton
2015/3/22,0.98,CincinnatiDayton
2015/3/15,0.94,CincinnatiDayton
2015/3/8,0.87,CincinnatiDayton
2015/3/1,0.89,CincinnatiDayton
2015/2/22,0.93,CincinnatiDayton
2015/2/15,0.94,CincinnatiDayton
2015/2/8,0.93,CincinnatiDayton
2015/2/1,0.86,CincinnatiDayton
2015/1/25,0.93,CincinnatiDayton
2015/1/18,0.93,CincinnatiDayton
2015/1/11,0.92,CincinnatiDayton
2015/1/4,0.88,CincinnatiDayton
2015/12/27,0.99,Columbus
2015/12/20,1.03,Columbus
2015/12/13,1.03,Columbus
2015/12/6,0.99,Columbus
2015/11/29,1.03,Columbus
2015/11/22,1.04,Columbus
2015/11/15,0.99,Columbus
2015/11/8,0.95,Columbus
2015/11/1,0.99,Columbus
2015/10/25,1.04,Columbus
2015/10/18,0.98,Columbus
2015/10/11,0.9,Columbus
2015/10/4,0.93,Columbus
2015/9/27,1.02,Columbus
2015/9/20,1,Columbus
2015/9/13,1.02,Columbus
2015/9/6,1.04,Columbus
2015/8/30,1.03,Columbus
2015/8/23,1.08,Columbus
2015/8/16,1.03,Columbus
2015/8/9,1,Columbus
2015/8/2,1.05,Columbus
2015/7/26,1.02,Columbus
2015/7/19,1.05,Columbus
2015/7/12,1.04,Columbus
2015/7/5,0.98,Columbus
2015/6/28,0.94,Columbus
2015/6/21,0.99,Columbus
2015/6/14,1.01,Columbus
2015/6/7,1.03,Columbus
2015/5/31,1.1,Columbus
2015/5/24,1.01,Columbus
2015/5/17,1,Columbus
2015/5/10,1.1,Columbus
2015/5/3,0.99,Columbus
2015/4/26,1.02,Columbus
2015/4/19,1,Columbus
2015/4/12,1.07,Columbus
2015/4/5,1.09,Columbus
2015/3/29,0.96,Columbus
2015/3/22,0.94,Columbus
2015/3/15,1.01,Columbus
2015/3/8,0.95,Columbus
2015/3/1,1.03,Columbus
2015/2/22,1.09,Columbus
2015/2/15,1.05,Columbus
2015/2/8,0.96,Columbus
2015/2/1,0.87,Columbus
2015/1/25,1.08,Columbus
2015/1/18,1.02,Columbus
2015/1/11,0.97,Columbus
2015/1/4,0.89,Columbus
2015/12/27,0.8,DallasFtWorth
2015/12/20,0.82,DallasFtWorth
2015/12/13,0.79,DallasFtWorth
2015/12/6,0.74,DallasFtWorth
2015/11/29,0.8,DallasFtWorth
2015/11/22,0.78,DallasFtWorth
2015/11/15,0.71,DallasFtWorth
2015/11/8,0.8,DallasFtWorth
2015/11/1,0.78,DallasFtWorth
2015/10/25,0.86,DallasFtWorth
2015/10/18,0.83,DallasFtWorth
2015/10/11,0.81,DallasFtWorth
2015/10/4,0.82,DallasFtWorth
2015/9/27,0.84,DallasFtWorth
2015/9/20,0.77,DallasFtWorth
2015/9/13,0.86,DallasFtWorth
2015/9/6,0.84,DallasFtWorth
2015/8/30,0.82,DallasFtWorth
2015/8/23,0.85,DallasFtWorth
2015/8/16,0.88,DallasFtWorth
2015/8/9,0.85,DallasFtWorth
2015/8/2,0.87,DallasFtWorth
2015/7/26,0.8,DallasFtWorth
2015/7/19,0.82,DallasFtWorth
2015/7/12,0.82,DallasFtWorth
2015/7/5,0.83,DallasFtWorth
2015/6/28,0.77,DallasFtWorth
2015/6/21,0.75,DallasFtWorth
2015/6/14,0.65,DallasFtWorth
2015/6/7,0.73,DallasFtWorth
2015/5/31,0.68,DallasFtWorth
2015/5/24,0.81,DallasFtWorth
2015/5/17,0.73,DallasFtWorth
2015/5/10,0.75,DallasFtWorth
2015/5/3,0.77,DallasFtWorth
2015/4/26,0.81,DallasFtWorth
2015/4/19,0.8,DallasFtWorth
2015/4/12,0.72,DallasFtWorth
2015/4/5,0.77,DallasFtWorth
2015/3/29,0.79,DallasFtWorth
2015/3/22,0.67,DallasFtWorth
2015/3/15,0.72,DallasFtWorth
2015/3/8,0.75,DallasFtWorth
2015/3/1,0.82,DallasFtWorth
2015/2/22,0.8,DallasFtWorth
2015/2/15,0.77,DallasFtWorth
2015/2/8,0.67,DallasFtWorth
2015/2/1,0.68,DallasFtWorth
2015/1/25,0.8,DallasFtWorth
2015/1/18,0.76,DallasFtWorth
2015/1/11,0.76,DallasFtWorth
2015/1/4,0.74,DallasFtWorth
2015/12/27,0.98,Denver
2015/12/20,1.05,Denver
2015/12/13,0.83,Denver
2015/12/6,0.76,Denver
2015/11/29,1.12,Denver
2015/11/22,0.85,Denver
2015/11/15,0.82,Denver
2015/11/8,0.93,Denver
2015/11/1,0.82,Denver
2015/10/25,0.93,Denver
2015/10/18,0.87,Denver
2015/10/11,0.9,Denver
2015/10/4,1.02,Denver
2015/9/27,0.97,Denver
2015/9/20,0.98,Denver
2015/9/13,1.01,Denver
2015/9/6,1.09,Denver
2015/8/30,1.14,Denver
2015/8/23,1.2,Denver
2015/8/16,1.17,Denver
2015/8/9,1.09,Denver
2015/8/2,1.05,Denver
2015/7/26,1.18,Denver
2015/7/19,1.1,Denver
2015/7/12,1.18,Denver
2015/7/5,1.19,Denver
2015/6/28,1.2,Denver
2015/6/21,1.16,Denver
2015/6/14,1.16,Denver
2015/6/7,1.11,Denver
2015/5/31,1.26,Denver
2015/5/24,1.16,Denver
2015/5/17,1.21,Denver
2015/5/10,1.08,Denver
2015/5/3,1.01,Denver
2015/4/26,1.19,Denver
2015/4/19,1.08,Denver
2015/4/12,1.05,Denver
2015/4/5,1.19,Denver
2015/3/29,1.11,Denver
2015/3/22,1.15,Denver
2015/3/15,1.03,Denver
2015/3/8,1.03,Denver
2015/3/1,1.03,Denver
2015/2/22,1,Denver
2015/2/15,1.12,Denver
2015/2/8,0.95,Denver
2015/2/1,0.93,Denver
2015/1/25,1.02,Denver
2015/1/18,0.99,Denver
2015/1/11,1.09,Denver
2015/1/4,0.99,Denver
2015/12/27,1.08,Detroit
2015/12/20,1.1,Detroit
2015/12/13,1.05,Detroit
2015/12/6,0.98,Detroit
2015/11/29,1.11,Detroit
2015/11/22,1.09,Detroit
2015/11/15,1.1,Detroit
2015/11/8,1.03,Detroit
2015/11/1,1.04,Detroit
2015/10/25,1.17,Detroit
2015/10/18,0.97,Detroit
2015/10/11,0.99,Detroit
2015/10/4,1.1,Detroit
2015/9/27,1.17,Detroit
2015/9/20,1,Detroit
2015/9/13,1.03,Detroit
2015/9/6,1.09,Detroit
2015/8/30,0.96,Detroit
2015/8/23,1.11,Detroit
2015/8/16,0.97,Detroit
2015/8/9,1.07,Detroit
2015/8/2,1.04,Detroit
2015/7/26,0.99,Detroit
2015/7/19,1.04,Detroit
2015/7/12,1.02,Detroit
2015/7/5,1.06,Detroit
2015/6/28,1,Detroit
2015/6/21,0.97,Detroit
2015/6/14,1.04,Detroit
2015/6/7,0.97,Detroit
2015/5/31,1.09,Detroit
2015/5/24,1.03,Detroit
2015/5/17,0.95,Detroit
2015/5/10,1.11,Detroit
2015/5/3,1.06,Detroit
2015/4/26,1.01,Detroit
2015/4/19,0.96,Detroit
2015/4/12,1.02,Detroit
2015/4/5,1.11,Detroit
2015/3/29,0.97,Detroit
2015/3/22,0.97,Detroit
2015/3/15,1.13,Detroit
2015/3/8,1.01,Detroit
2015/3/1,0.97,Detroit
2015/2/22,1.15,Detroit
2015/2/15,1.16,Detroit
2015/2/8,1.11,Detroit
2015/2/1,0.92,Detroit
2015/1/25,1.19,Detroit
2015/1/18,1.1,Detroit
2015/1/11,1.08,Detroit
2015/1/4,1.01,Detroit
2015/12/27,1.13,GrandRapids
2015/12/20,1.13,GrandRapids
2015/12/13,1.24,GrandRapids
2015/12/6,0.93,GrandRapids
2015/11/29,1.12,GrandRapids
2015/11/22,1.11,GrandRapids
2015/11/15,1.2,GrandRapids
2015/11/8,0.93,GrandRapids
2015/11/1,0.91,GrandRapids
2015/10/25,1.14,GrandRapids
2015/10/18,0.94,GrandRapids
2015/10/11,0.97,GrandRapids
2015/10/4,0.99,GrandRapids
2015/9/27,1.15,GrandRapids
2015/9/20,0.88,GrandRapids
2015/9/13,0.95,GrandRapids
2015/9/6,1.09,GrandRapids
2015/8/30,0.91,GrandRapids
2015/8/23,1.28,GrandRapids
2015/8/16,0.89,GrandRapids
2015/8/9,1.08,GrandRapids
2015/8/2,1.05,GrandRapids
2015/7/26,1.12,GrandRapids
2015/7/19,1.05,GrandRapids
2015/7/12,1.19,GrandRapids
2015/7/5,1.16,GrandRapids
2015/6/28,1.1,GrandRapids
2015/6/21,0.96,GrandRapids
2015/6/14,1.07,GrandRapids
2015/6/7,1.14,GrandRapids
2015/5/31,1.31,GrandRapids
2015/5/24,1.3,GrandRapids
2015/5/17,0.97,GrandRapids
2015/5/10,1.36,GrandRapids
2015/5/3,1.06,GrandRapids
2015/4/26,1.09,GrandRapids
2015/4/19,0.93,GrandRapids
2015/4/12,1.13,GrandRapids
2015/4/5,1.22,GrandRapids
2015/3/29,1.11,GrandRapids
2015/3/22,0.91,GrandRapids
2015/3/15,1.35,GrandRapids
2015/3/8,1.08,GrandRapids
2015/3/1,0.95,GrandRapids
2015/2/22,1.31,GrandRapids
2015/2/15,1.21,GrandRapids
2015/2/8,1.24,GrandRapids
2015/2/1,0.94,GrandRapids
2015/1/25,1.19,GrandRapids
2015/1/18,1.07,GrandRapids
2015/1/11,1.03,GrandRapids
2015/1/4,0.95,GrandRapids
2015/12/27,1.01,GreatLakes
2015/12/20,1.01,GreatLakes
2015/12/13,1.03,GreatLakes
2015/12/6,1,GreatLakes
2015/11/29,1.07,GreatLakes
2015/11/22,1.03,GreatLakes
2015/11/15,1.09,GreatLakes
2015/11/8,0.98,GreatLakes
2015/11/1,1,GreatLakes
2015/10/25,1.1,GreatLakes
2015/10/18,1.03,GreatLakes
2015/10/11,1.02,GreatLakes
2015/10/4,1.05,GreatLakes
2015/9/27,1.1,GreatLakes
2015/9/20,1.02,GreatLakes
2015/9/13,1.03,GreatLakes
2015/9/6,1.07,GreatLakes
2015/8/30,1.04,GreatLakes
2015/8/23,1.14,GreatLakes
2015/8/16,1.03,GreatLakes
2015/8/9,1.12,GreatLakes
2015/8/2,1.14,GreatLakes
2015/7/26,1.1,GreatLakes
2015/7/19,1.12,GreatLakes
2015/7/12,1.14,GreatLakes
2015/7/5,1.13,GreatLakes
2015/6/28,1.07,GreatLakes
2015/6/21,1.08,GreatLakes
2015/6/14,1.12,GreatLakes
2015/6/7,1.13,GreatLakes
2015/5/31,1.2,GreatLakes
2015/5/24,1.15,GreatLakes
2015/5/17,1.09,GreatLakes
2015/5/10,1.15,GreatLakes
2015/5/3,1.05,GreatLakes
2015/4/26,1.14,GreatLakes
2015/4/19,1.06,GreatLakes
2015/4/12,1.11,GreatLakes
2015/4/5,1.18,GreatLakes
2015/3/29,1.09,GreatLakes
2015/3/22,1.04,GreatLakes
