订单号,用户ID,商品ID,商品名,单价,数量,总价,下单时间,
700010202001053218,67631396,700010,儿童口罩,20,13,260,2020-07-05 10:32:18,
700010202001053218,15198028,700010,儿童口罩,20,38,760,2020-07-05 10:32:18,
700010202001054832,80378417,700010,儿童口罩,20,22,440,2020-07-05 10:48:32,
700010202001050425,12391763,700010,儿童口罩,20,25,500,2020-07-05 11:04:25,
700010202001050425,13837318,700010,儿童口罩,20,15,300,2020-07-05 11:04:25,
700010202001050520,26698341,700010,儿童口罩,20,12,240,2020-07-05 11:05:20,
700010202001050634,95138277,700010,儿童口罩,20,20,400,2020-07-05 11:06:34,
700010202001050634,51582477,700010,儿童口罩,20,20,400,2020-07-05 11:06:34,
700010202001052126,16782893,700010,儿童口罩,20,15,300,2020-07-05 11:21:26,
700010202001052806,45244217,700010,儿童口罩,20,10,200,2020-07-05 11:28:06,
700010202001052806,38371662,700010,儿童口罩,20,30,600,2020-07-05 11:28:06,
700010202001053528,10122033,700010,儿童口罩,20,17,340,2020-07-05 11:35:28,
700010202001050237,21643553,700010,儿童口罩,20,15,300,2020-07-05 12:02:37,
700010202001050331,76439998,700010,儿童口罩,20,50,1000,2020-07-05 12:03:31,
700010202001051245,80609955,700010,儿童口罩,20,12,240,2020-07-05 12:12:45,
700010202001052624,96228796,700010,儿童口罩,20,35,700,2020-07-05 12:26:24,
700010202001052624,48641569,700010,儿童口罩,20,12,240,2020-07-05 12:26:24,
700010202001052948,94029204,700010,儿童口罩,20,12,240,2020-07-05 12:29:48,
700010202001052948,46697813,700010,儿童口罩,20,22,440,2020-07-05 12:29:48,
700010202001053838,39108610,700010,儿童口罩,20,17,340,2020-07-05 12:38:38,
700010202001055405,45963803,700010,儿童口罩,20,17,340,2020-07-05 12:54:05,
700010202001055405,21405335,700010,儿童口罩,20,29,580,2020-07-05 12:54:05,
700010202001050025,68696823,700010,儿童口罩,20,15,300,2020-07-05 13:00:25,
700010202001050025,88792578,700010,儿童口罩,20,18,360,2020-07-05 13:00:25,
700010202001050606,73442894,700010,儿童口罩,20,15,300,2020-07-05 13:06:06,
700010202001052320,57451702,700010,儿童口罩,20,15,300,2020-07-05 13:23:20,
700010202001052320,84623503,700010,儿童口罩,20,19,380,2020-07-05 13:23:20,
700010202001053310,16024023,700010,儿童口罩,20,50,1000,2020-07-05 13:33:10,
700010202001053310,39894827,700010,儿童口罩,20,15,300,2020-07-05 13:33:10,
700010202001054047,92806995,700010,儿童口罩,20,29,580,2020-07-05 13:40:47,
700010202001054047,36053558,700010,儿童口罩,20,19,380,2020-07-05 13:40:47,
700010202001050633,49230749,700010,儿童口罩,20,12,240,2020-07-05 14:06:33,
700010202001051151,13107101,700010,儿童口罩,20,12,240,2020-07-05 14:11:51,
700010202001052651,8118735,700010,儿童口罩,20,19,380,2020-07-05 14:26:51,
700010202001052651,98921978,700010,儿童口罩,20,13,260,2020-07-05 14:26:51,
700010202001050633,57809820,700010,儿童口罩,20,25,500,2020-07-05 15:06:33,
700010202001050633,69130683,700010,儿童口罩,20,18,360,2020-07-05 15:06:33,
700010202001053616,49536111,700010,儿童口罩,20,12,240,2020-07-05 16:36:16,
700010202001054839,59894085,700010,儿童口罩,20,19,380,2020-07-05 16:48:39,
700010202001055216,85696050,700010,儿童口罩,20,5,100,2020-07-05 16:52:16,
700010202001055216,63527534,700010,儿童口罩,20,18,360,2020-07-05 16:52:16,
700010202001055542,2318877,700010,儿童口罩,20,23,460,2020-07-05 16:55:42,
700010202001054950,66509422,700010,儿童口罩,20,12,240,2020-07-05 17:49:50,
700010202001054950,71190031,700010,儿童口罩,20,12,240,2020-07-05 17:49:50,
700010202001050256,40265722,700010,儿童口罩,20,23,460,2020-07-05 18:02:56,
700010202001051406,35261237,700010,儿童口罩,20,34,680,2020-07-05 18:14:06,
700010202001051406,8695137,700010,儿童口罩,20,20,400,2020-07-05 18:14:06,
700010202001051726,4921045,700010,儿童口罩,20,35,700,2020-07-05 18:17:26,
700010202001051726,49511287,700010,儿童口罩,20,46,920,2020-07-05 18:17:26,
700010202001052000,58787897,700010,儿童口罩,20,20,400,2020-07-05 18:20:00,
700010202001052940,86557206,700010,儿童口罩,20,16,320,2020-07-05 18:29:40,
700010202001053802,60772823,700010,儿童口罩,20,10,200,2020-07-05 18:38:02,
700010202001053802,87572201,700010,儿童口罩,20,36,720,2020-07-05 18:38:02,
700010202001054241,81014136,700010,儿童口罩,20,16,320,2020-07-05 18:42:41,
700010202001054655,43576022,700010,儿童口罩,20,46,920,2020-07-05 18:46:55,
700010202001054655,60249931,700010,儿童口罩,20,10,200,2020-07-05 18:46:55,
700010202001054947,13114624,700010,儿童口罩,20,15,300,2020-07-05 18:49:47,
700010202001054947,8250665,700010,儿童口罩,20,18,360,2020-07-05 18:49:47,
700010202001055438,71629222,700010,儿童口罩,20,30,600,2020-07-05 18:54:38,
700010202001055438,71769919,700010,儿童口罩,20,43,860,2020-07-05 18:54:38,
700010202001055759,8619958,700010,儿童口罩,20,12,240,2020-07-05 18:57:59,
700010202001053348,25968512,700010,儿童口罩,20,30,600,2020-07-05 19:33:48,
700010202001052838,89119143,700010,儿童口罩,20,5,100,2020-07-05 22:28:38,
700010202001050131,79037386,700010,儿童口罩,20,19,380,2020-07-05 23:01:31,
700010202001050221,55775441,700010,儿童口罩,20,25,500,2020-07-05 23:02:21,
700010202001052833,33754199,700010,儿童口罩,20,15,300,2020-07-05 23:28:33,
700010202001061117,36662001,700010,儿童口罩,20,17,340,2020-07-06 07:11:17,
700010202001062705,4595793,700010,儿童口罩,20,15,300,2020-07-06 08:27:05,
700010202001063333,30557472,700010,儿童口罩,20,15,300,2020-07-06 08:33:33,
700010202001065735,23406621,700010,儿童口罩,20,35,700,2020-07-06 08:57:35,
700010202001060748,61588182,700010,儿童口罩,20,15,300,2020-07-06 09:07:48,
700010202001060000,37061127,700010,儿童口罩,20,35,700,2020-07-06 11:00:00,
700010202001061401,15665972,700010,儿童口罩,20,12,240,2020-07-06 11:14:01,
700010202001061503,44811032,700010,儿童口罩,20,25,500,2020-07-06 11:15:03,
700010202001062821,49817420,700010,儿童口罩,20,5,100,2020-07-06 11:28:21,
700010202001063938,44717524,700010,儿童口罩,20,20,400,2020-07-06 11:39:38,
700010202001063938,43359876,700010,儿童口罩,20,20,400,2020-07-06 11:39:38,
700010202001064509,86302868,700010,儿童口罩,20,25,500,2020-07-06 11:45:09,
700010202001065114,1705758,700010,儿童口罩,20,39,780,2020-07-06 11:51:14,
700010202001065158,18180750,700010,儿童口罩,20,32,640,2020-07-06 11:51:58,
700010202001065158,63286811,700010,儿童口罩,20,15,300,2020-07-06 11:51:58,
700010202001065646,87941218,700010,儿童口罩,20,12,240,2020-07-06 11:56:46,
700010202001061751,62584524,700010,儿童口罩,20,50,1000,2020-07-06 13:17:51,
700010202001061948,94825151,700010,儿童口罩,20,15,300,2020-07-06 13:19:48,
700010202001063401,57555849,700010,儿童口罩,20,12,240,2020-07-06 13:34:01,
700010202001063917,23357680,700010,儿童口罩,20,43,860,2020-07-06 13:39:17,
700010202001063951,33129171,700010,儿童口罩,20,16,320,2020-07-06 13:39:51,
700010202001064636,93797979,700010,儿童口罩,20,15,300,2020-07-06 13:46:36,
700010202001064636,63796714,700010,儿童口罩,20,18,360,2020-07-06 13:46:36,
700010202001064636,9568403,700010,儿童口罩,20,15,300,2020-07-06 13:46:36,
700010202001065304,90172158,700010,儿童口罩,20,15,300,2020-07-06 13:53:04,
700010202001065304,26732668,700010,儿童口罩,20,17,340,2020-07-06 13:53:04,
700010202001065709,94267123,700010,儿童口罩,20,10,200,2020-07-06 13:57:09,
700010202001065709,40951738,700010,儿童口罩,20,46,920,2020-07-06 13:57:09,
700010202001060104,78943058,700010,儿童口罩,20,15,300,2020-07-06 14:01:04,
700010202001060402,96916705,700010,儿童口罩,20,38,760,2020-07-06 14:04:02,
700010202001060547,97114097,700010,儿童口罩,20,50,1000,2020-07-06 14:05:47,
700010202001060547,40736254,700010,儿童口罩,20,50,1000,2020-07-06 14:05:47,
700010202001060920,69448345,700010,儿童口罩,20,46,920,2020-07-06 14:09:20,
700010202001061158,17178380,700010,儿童口罩,20,30,600,2020-07-06 14:11:58,
700010202001061158,28205700,700010,儿童口罩,20,16,320,2020-07-06 14:11:58,
700010202001061619,46871649,700010,儿童口罩,20,12,240,2020-07-06 14:16:19,
700010202001061901,60913040,700010,儿童口罩,20,46,920,2020-07-06 14:19:01,
700010202001062629,70281159,700010,儿童口罩,20,25,500,2020-07-06 14:26:29,
700010202001062629,31441977,700010,儿童口罩,20,30,600,2020-07-06 14:26:29,
700010202001062629,36016017,700010,儿童口罩,20,12,240,2020-07-06 14:26:29,
700010202001063439,51023980,700010,儿童口罩,20,40,800,2020-07-06 14:34:39,
700010202001063439,70410648,700010,儿童口罩,20,19,380,2020-07-06 14:34:39,
700010202001063439,60188067,700010,儿童口罩,20,25,500,2020-07-06 14:34:39,
700010202001065159,53075916,700010,儿童口罩,20,45,900,2020-07-06 14:51:59,
700010202001061711,32173123,700010,儿童口罩,20,25,500,2020-07-06 15:17:11,
700010202001061711,90337907,700010,儿童口罩,20,23,460,2020-07-06 15:17:11,
700010202001061908,94893266,700010,儿童口罩,20,15,300,2020-07-06 15:19:08,
700010202001063210,42372362,700010,儿童口罩,20,30,600,2020-07-06 15:32:10,
700010202001063210,58555503,700010,儿童口罩,20,10,200,2020-07-06 15:32:10,
700010202001061746,35660720,700010,儿童口罩,20,15,300,2020-07-06 16:17:46,
700010202001062626,72295627,700010,儿童口罩,20,23,460,2020-07-06 16:26:26,
700010202001062626,83749305,700010,儿童口罩,20,25,500,2020-07-06 16:26:26,
700010202001070933,75547916,700010,儿童口罩,20,18,360,2020-07-07 22:09:33,
700010202001071951,84285648,700010,儿童口罩,20,5,100,2020-07-07 22:19:51,
700010202001070351,44285061,700010,儿童口罩,20,20,400,2020-07-07 23:03:51,
700010202001071306,6004332,700010,儿童口罩,20,12,240,2020-07-07 23:13:06,
700010202001071306,21163309,700010,儿童口罩,20,20,400,2020-07-07 23:13:06,
700010202001072912,76135596,700010,儿童口罩,20,22,440,2020-07-07 23:29:12,
700010202001075002,3657828,700010,儿童口罩,20,12,240,2020-07-07 23:50:02,
700010202001082928,47683408,700010,儿童口罩,20,30,600,2020-07-08 07:29:28,
700010202001085327,42636594,700010,儿童口罩,20,48,960,2020-07-08 07:53:27,
700010202001085327,35524142,700010,儿童口罩,20,22,440,2020-07-08 07:53:27,
700010202001085809,59037076,700010,儿童口罩,20,15,300,2020-07-08 07:58:09,
700010202001082901,20210158,700010,儿童口罩,20,25,500,2020-07-08 08:29:01,
700010202001084633,61831690,700010,儿童口罩,20,15,300,2020-07-08 08:46:33,
700010202001082745,43314190,700010,儿童口罩,20,18,360,2020-07-08 09:27:45,
700010202001080702,63941014,700010,儿童口罩,20,12,240,2020-07-08 10:07:02,
700010202001080702,16969973,700010,儿童口罩,20,12,240,2020-07-08 10:07:02,
700010202001080644,43808048,700010,儿童口罩,20,10,200,2020-07-08 12:06:44,
700010202001081612,21706395,700010,儿童口罩,20,45,900,2020-07-08 13:16:12,
700010202001081612,53981473,700010,儿童口罩,20,17,340,2020-07-08 13:16:12,
700010202001081838,65512675,700010,儿童口罩,20,15,300,2020-07-08 13:18:38,
700010202001085609,40888029,700010,儿童口罩,20,10,200,2020-07-08 13:56:09,
700010202001085609,97660419,700010,儿童口罩,20,12,240,2020-07-08 13:56:09,
700010202001080424,60558560,700010,儿童口罩,20,12,240,2020-07-08 14:04:24,
700010202001082036,3534262,700010,儿童口罩,20,22,440,2020-07-08 14:20:36,
700010202001082255,65523003,700010,儿童口罩,20,10,200,2020-07-08 14:22:55,
700010202001084044,75427939,700010,儿童口罩,20,15,300,2020-07-08 14:40:44,
700010202001085711,18922754,700010,儿童口罩,20,15,300,2020-07-08 14:57:11,
700010202001080500,71934494,700010,儿童口罩,20,18,360,2020-07-08 15:05:00,
700010202001082746,21947538,700010,儿童口罩,20,5,100,2020-07-08 15:27:46,
700010202001082746,69268759,700010,儿童口罩,20,42,840,2020-07-08 15:27:46,
700010202001082911,41047178,700010,儿童口罩,20,15,300,2020-07-08 15:29:11,
700010202001082911,48953364,700010,儿童口罩,20,15,300,2020-07-08 15:29:11,
700010202001085034,61988687,700010,儿童口罩,20,15,300,2020-07-08 15:50:34,
700010202001085316,67466847,700010,儿童口罩,20,10,200,2020-07-08 15:53:16,
700010202001080009,6752678,700010,儿童口罩,20,12,240,2020-07-08 16:00:09,
700010202001080602,21366427,700010,儿童口罩,20,5,100,2020-07-08 16:06:02,
700010202001080808,93534167,700010,儿童口罩,20,35,700,2020-07-08 16:08:08,
700010202001080808,33813560,700010,儿童口罩,20,24,480,2020-07-08 16:08:08,
700010202001083024,90602274,700010,儿童口罩,20,15,300,2020-07-08 16:30:24,
700010202001083024,9396391,700010,儿童口罩,20,18,360,2020-07-08 16:30:24,
700010202001083032,59478989,700010,儿童口罩,20,12,240,2020-07-08 16:30:32,
700010202001083032,54052531,700010,儿童口罩,20,15,300,2020-07-08 16:30:32,
700010202001083051,50986866,700010,儿童口罩,20,15,300,2020-07-08 16:30:51,
700010202001083051,92946891,700010,儿童口罩,20,50,1000,2020-07-08 16:30:51,
700010202001083540,2914042,700010,儿童口罩,20,43,860,2020-07-08 16:35:40,
700010202001083559,46973614,700010,儿童口罩,20,15,300,2020-07-08 16:35:59,
700010202001083559,62814123,700010,儿童口罩,20,15,300,2020-07-08 16:35:59,
700010202001084814,86296460,700010,儿童口罩,20,15,300,2020-07-08 16:48:14,
700010202001084814,26605120,700010,儿童口罩,20,12,240,2020-07-08 16:48:14,
700010202001080300,38543582,700010,儿童口罩,20,46,920,2020-07-08 17:03:00,
700010202001082149,36144667,700010,儿童口罩,20,43,860,2020-07-08 17:21:49,
700010202001080504,71957916,700010,儿童口罩,20,30,600,2020-07-08 18:05:04,
700010202001082117,95936513,700010,儿童口罩,20,12,240,2020-07-08 18:21:17,
700010202001082250,85664947,700010,儿童口罩,20,13,260,2020-07-08 18:22:50,
700010202001082250,20610157,700010,儿童口罩,20,26,520,2020-07-08 18:22:50,
700010202001082317,75140006,700010,儿童口罩,20,10,200,2020-07-08 18:23:17,
700010202001082317,52330949,700010,儿童口罩,20,12,240,2020-07-08 18:23:17,
700010202001082726,47083451,700010,儿童口罩,20,35,700,2020-07-08 18:27:26,
700010202001082726,19664382,700010,儿童口罩,20,20,400,2020-07-08 18:27:26,
700010202001083018,95205941,700010,儿童口罩,20,12,240,2020-07-08 18:30:18,
700010202001083018,23879232,700010,儿童口罩,20,12,240,2020-07-08 18:30:18,
700010202001083803,64747881,700010,儿童口罩,20,50,1000,2020-07-08 18:38:03,
700010202001084126,2174296,700010,儿童口罩,20,16,320,2020-07-08 18:41:26,
700010202001084126,26691597,700010,儿童口罩,20,12,240,2020-07-08 18:41:26,
700010202001084430,64519393,700010,儿童口罩,20,15,300,2020-07-08 18:44:30,
700010202001084430,17653465,700010,儿童口罩,20,35,700,2020-07-08 18:44:30,
700010202001083632,90243597,700010,儿童口罩,20,19,380,2020-07-08 19:36:32,
700010202001084008,67502901,700010,儿童口罩,20,15,300,2020-07-08 19:40:08,
700010202001084611,13443833,700010,儿童口罩,20,12,240,2020-07-08 19:46:11,
700010202001084611,17008097,700010,儿童口罩,20,17,340,2020-07-08 19:46:11,
700010202001080406,11549481,700010,儿童口罩,20,23,460,2020-07-08 20:04:06,
700010202001082718,89363957,700010,儿童口罩,20,10,200,2020-07-08 20:27:18,
700010202001082718,61548991,700010,儿童口罩,20,50,1000,2020-07-08 20:27:18,
700010202001083748,7364908,700010,儿童口罩,20,25,500,2020-07-08 20:37:48,
