用户ID,地区,宝宝性别,宝宝年龄
56527809,兰州,男,2
4940818,成都,女,1
40800048,兰州,女,3
41706552,武汉,女,3
10504671,北京,男,2
60742708,北京,女,3
4996720,哈尔滨,女,2
24425856,哈尔滨,男,1
21790607,深圳,男,1
7200067,深圳,女,1
60546080,深圳,男,2
2518210,成都,男,2
82080702,重庆,女,1
70590246,深圳,男,2
92217444,深圳,女,0
92452109,武汉,女,0
98772964,哈尔滨,男,3
16689495,成都,男,2
8961181,深圳,女,1
66250119,武汉,女,1
80240845,哈尔滨,男,0
8560824,重庆,女,1
50604808,成都,男,3
80062990,北京,男,0
65207151,武汉,女,2
41410267,成都,女,3
97520002,兰州,男,1
11016047,北京,男,3
68005071,上海,女,2
79569400,重庆,男,1
59074827,武汉,男,1
29051409,上海,男,1
62509509,兰州,女,0
42690172,武汉,女,3
8551404,深圳,女,3
5502070,北京,男,2
1295015,重庆,男,2
48617158,兰州,男,2
7150867,武汉,女,2
509095,武汉,女,3
20255146,重庆,女,3
60742527,重庆,女,3
41074884,北京,男,2
1077770,兰州,男,3
36594619,深圳,女,1
92506697,哈尔滨,女,2
52909245,北京,男,2
22900424,北京,女,0
50885070,兰州,女,1
10908584,哈尔滨,男,1
42070616,深圳,男,1
64601099,武汉,男,2
50267624,兰州,男,1
62217608,武汉,女,1
7680791,成都,男,2
40501778,武汉,男,0
5067497,哈尔滨,男,1
69745897,深圳,男,3
70950194,兰州,女,3
5655082,兰州,男,1
52907906,北京,女,2
77044945,武汉,女,1
96994626,哈尔滨,女,2
78298867,成都,女,0
26449087,上海,女,2
90004195,成都,男,1
42054012,北京,女,3
97082558,北京,女,0
61942208,哈尔滨,女,0
88201185,北京,女,1
90174520,武汉,女,0
60122417,武汉,女,3
56051602,北京,女,1
86787600,兰州,女,2
25850542,成都,女,3
69722528,兰州,女,3
8507417,深圳,男,2
69977655,深圳,女,1
65914021,深圳,女,1
79421548,武汉,男,3
62592171,成都,男,2
70966548,上海,女,1
6400689,哈尔滨,男,3
69024888,深圳,男,1
65057179,成都,女,2
70627856,深圳,男,3
88566909,上海,男,1
62082928,北京,女,2
85810152,上海,男,2
94827099,重庆,女,0
75064606,武汉,男,3
91595585,武汉,女,0
47596085,成都,男,2
64962551,武汉,女,3
6821201,武汉,男,2
19652724,重庆,女,2
7580541,重庆,男,2
24944079,成都,女,1
10002491,哈尔滨,女,1
92465218,深圳,女,3
90128100,深圳,男,0
72808041,北京,女,0
91686100,哈尔滨,男,0
10917405,成都,女,1
67690090,上海,男,1
55015029,深圳,男,2
68270071,武汉,女,2
94201140,北京,男,1
79141998,兰州,男,3
42294070,重庆,男,1
15572411,兰州,男,1
60059614,哈尔滨,男,3
4808429,北京,女,3
60960852,上海,男,0
87110148,重庆,男,2
49910000,哈尔滨,女,3
34718217,重庆,男,1
4708062,兰州,男,0
47549865,成都,男,0
1806858,上海,女,0
87979168,深圳,男,0
20655106,深圳,女,0
4116716,兰州,女,0
70685674,深圳,男,0
18252281,哈尔滨,女,0
70201025,哈尔滨,男,0
99019414,哈尔滨,女,0
8000205,重庆,男,3
67806525,成都,男,0
78940519,深圳,男,1
2159965,成都,女,0
27224492,上海,男,0
97641289,重庆,男,1
58258682,哈尔滨,男,0
59842706,成都,女,0
6620494,哈尔滨,男,2
65791640,武汉,男,0
85165695,上海,女,1
98146850,兰州,男,2
71874728,上海,女,2
33074796,北京,女,0
77800455,上海,男,2
51499950,武汉,男,1
50191655,重庆,男,3
66477805,重庆,女,3
48185870,兰州,女,3
27219705,哈尔滨,男,3
49660978,兰州,男,3
80594120,哈尔滨,女,2
70140810,重庆,男,2
81022414,上海,男,3
40871198,哈尔滨,女,3
1971004,北京,女,2
80121812,哈尔滨,女,1
75900970,深圳,女,1
24710010,深圳,女,2
82849052,武汉,男,3
75886441,深圳,男,2
62840019,北京,男,2
99606708,武汉,男,0
15549594,深圳,男,2
82862487,北京,男,1
47401171,武汉,女,3
24059955,武汉,男,1
90005874,哈尔滨,男,2
7064965,哈尔滨,男,2
6195890,北京,女,0
74440844,哈尔滨,女,2
27902727,成都,男,0
94477006,重庆,女,0
44010100,重庆,女,0
79056720,兰州,男,0
50598910,上海,男,3
6601288,成都,女,2
59422021,重庆,女,1
1067424,上海,女,0
55529097,武汉,女,2
85045621,深圳,女,3
52290100,兰州,男,3
70780901,哈尔滨,男,3
27606545,武汉,男,1
42500402,武汉,女,2
72567712,重庆,女,2
99522740,重庆,女,2
16960574,兰州,男,2
76102289,哈尔滨,女,3
74471180,哈尔滨,女,3
1099056,兰州,男,0
19400087,深圳,男,0
48567807,哈尔滨,男,3
85925928,深圳,男,0
52599886,哈尔滨,男,2
46216010,上海,男,2
2900400,兰州,女,3
82700668,上海,男,3
69440429,成都,男,3
86482190,武汉,男,2
97265629,武汉,男,3
1126842,武汉,女,3
64444827,重庆,女,0
20294004,武汉,女,1
15552019,上海,女,2
22078145,哈尔滨,女,1
75188091,北京,女,3
9259217,北京,男,1
2801682,上海,女,3
51495805,武汉,男,3
67601096,上海,女,1
15198028,北京,女,0
80078417,深圳,女,2
12091760,深圳,男,2
10807018,重庆,女,2
26698041,北京,女,3
95108277,哈尔滨,男,1
51582477,重庆,女,3
16782890,武汉,女,3
45244217,深圳,男,0
8071662,深圳,男,3
10122000,哈尔滨,男,3
21640550,兰州,女,2
76409998,哈尔滨,男,2
80609955,武汉,女,2
96228796,重庆,女,3
48641569,武汉,女,1
94029204,北京,男,0
46697810,成都,男,3
9108610,兰州,男,3
45960800,北京,女,3
21405005,兰州,男,0
68696820,成都,女,0
88792578,武汉,女,3
70442894,武汉,女,3
57451702,深圳,女,1
84620500,北京,男,1
16024020,成都,男,1
39894827,成都,女,3
92806995,北京,男,3
6050558,深圳,女,0
49200749,深圳,女,3
10107101,武汉,男,0
8118705,北京,男,0
98921978,上海,女,3
57809820,武汉,男,3
69100680,武汉,男,3
32946472,哈尔滨,男,0
80287422,哈尔滨,女,1
64821682,上海,男,3
75515522,武汉,男,0
15605940,上海,女,2
40295867,重庆,女,3
10640600,重庆,女,3
91851505,哈尔滨,女,0
10716771,哈尔滨,女,0
40094481,兰州,女,1
1000019,上海,女,1
5068659,上海,男,0
24687078,重庆,男,0
49506111,成都,男,0
59894085,武汉,男,1
85696050,哈尔滨,女,1
60527504,哈尔滨,男,0
2018877,深圳,男,0
66509422,上海,男,2
71190001,兰州,女,0
40265722,北京,男,2
5261207,上海,女,3
8695107,哈尔滨,男,0
4921045,北京,男,2
49511287,深圳,女,1
58787897,武汉,女,1
86557206,武汉,女,0
60772820,北京,男,2
87572201,上海,女,1
81014106,上海,女,0
40576022,武汉,男,3
60249901,北京,男,3
10114624,深圳,女,2
8250665,北京,男,0
71629222,哈尔滨,女,0
71769919,兰州,男,2
8619958,北京,男,2
25968512,兰州,男,1
98599824,上海,女,1
66578070,哈尔滨,男,2
19964889,成都,男,1
67910075,哈尔滨,女,2
77068494,兰州,女,0
70124192,兰州,女,1
41726564,上海,女,1
18189792,北京,女,1
20770206,兰州,男,3
65255470,深圳,女,3
14690678,深圳,男,2
82487895,上海,女,3
89119140,兰州,男,1
79007086,深圳,女,3
55775441,武汉,男,3
33754199,上海,女,3
6662001,武汉,女,3
4595790,成都,女,3
30557472,上海,女,3
20406621,深圳,女,3
61588182,哈尔滨,男,0
90804256,重庆,男,0
10794944,北京,男,1
29407067,武汉,男,0
7074092,兰州,女,2
95078508,兰州,女,2
40896240,深圳,女,3
70744607,武汉,男,3
47990564,成都,女,3
78019500,北京,男,1
64586968,兰州,男,1
52656827,武汉,女,1
21422800,兰州,女,2
90985294,重庆,女,2
9024582,上海,女,1
46250408,武汉,女,3
44905520,兰州,女,1
88818889,哈尔滨,男,3
7061127,重庆,男,2
15665972,兰州,男,1
44811002,深圳,女,0
49817420,武汉,男,3
44717524,重庆,女,3
40059876,上海,男,0
86002868,重庆,女,0
1705758,武汉,男,2
18180750,兰州,女,2
60286811,兰州,女,2
87941218,重庆,男,3
54185670,深圳,女,0
42968116,哈尔滨,女,3
849150,兰州,女,3
65554158,武汉,男,2
39616958,上海,女,0
4972716,成都,女,1
91600560,兰州,女,0
4780757,重庆,男,2
80564050,重庆,男,0
20101089,上海,女,3
69907420,重庆,女,0
67146289,重庆,女,3
62584524,深圳,男,2
94825151,成都,男,2
57555849,重庆,女,1
20057680,兰州,女,1
33129171,深圳,男,2
90797979,重庆,男,1
60796714,上海,女,2
9568400,兰州,男,0
90172158,武汉,女,2
26702668,深圳,女,2
94267120,重庆,男,2
40951708,成都,女,0
78940058,上海,女,2
96916705,重庆,女,0
97114097,成都,男,0
40706254,兰州,女,2
69448045,深圳,男,0
17178080,北京,女,3
28205700,北京,男,3
46871649,兰州,女,1
60910040,上海,男,2
70281159,深圳,男,0
31441977,上海,男,2
6016017,哈尔滨,女,2
51020980,武汉,男,0
70410648,兰州,女,3
60188067,上海,女,1
50075916,上海,男,0
2170120,兰州,女,2
90007907,兰州,男,2
94890266,兰州,男,3
42072062,北京,男,3
58555500,成都,女,0
5660720,成都,女,1
72295627,北京,男,2
80749005,兰州,男,0
80067575,兰州,女,1
7577877,深圳,女,0
50660805,成都,男,1
77546824,兰州,女,0
60928094,哈尔滨,男,3
6198740,上海,女,2
81901108,上海,女,1
62801204,北京,女,1
64008762,武汉,男,1
40054002,成都,男,3
27610807,哈尔滨,女,2
81904010,武汉,女,1
85476800,北京,女,1
4419209,上海,女,2
22015270,重庆,男,0
12798062,上海,女,0
49417008,上海,女,0
72188877,深圳,女,3
15104879,重庆,男,0
98585088,深圳,男,3
10950980,兰州,男,2
40919047,哈尔滨,女,0
81101070,哈尔滨,男,2
826060,上海,男,1
45568859,上海,男,0
24048658,上海,女,3
1165574,重庆,男,3
55081400,哈尔滨,女,1
50217105,武汉,男,3
61800816,重庆,男,1
31758515,深圳,女,0
62004142,武汉,男,0
8186010,深圳,女,0
24288675,兰州,女,0
81821181,重庆,男,1
82401852,兰州,男,3
12579452,深圳,女,0
60580780,北京,女,0
81901808,上海,男,2
80020484,上海,男,1
9008788,深圳,男,3
6691710,兰州,男,1
44767482,哈尔滨,女,3
71081786,哈尔滨,男,3
50148761,兰州,男,2
70928010,上海,男,0
97867889,哈尔滨,女,1
14868188,北京,男,3
72098484,兰州,女,1
72720920,成都,女,2
1018226,深圳,男,0
49085851,兰州,男,1
97085979,北京,男,1
79807710,成都,女,1
67180104,哈尔滨,男,1
56689140,深圳,女,2
7008748,北京,女,1
65100041,北京,男,3
50019040,深圳,男,1
55564267,兰州,女,0
4219260,深圳,男,2
29441707,重庆,女,0
10250858,哈尔滨,女,0
20049011,北京,女,1
21927199,成都,男,1
1157657,重庆,男,1
11102284,北京,女,2
15541000,武汉,男,3
65290619,兰州,男,3
37777145,兰州,男,2
77084650,北京,女,3
68047546,重庆,女,3
6090802,上海,女,3
91679180,武汉,女,3
2691200,成都,男,2
81294190,深圳,女,2
19042064,深圳,男,0
6762020,兰州,男,3
97765047,重庆,女,1
8950402,武汉,女,2
6916041,哈尔滨,男,2
64602048,兰州,女,3
57917614,深圳,男,0
21161262,哈尔滨,女,0
72860411,深圳,男,0
12878697,深圳,女,2
58014704,上海,男,3
6105010,重庆,女,2
77508874,重庆,女,3
55000444,哈尔滨,女,3
71785046,兰州,女,0
5641709,上海,女,2
6892621,北京,男,0
92665869,成都,男,0
77221917,深圳,男,2
94072818,上海,女,1
72921145,武汉,男,3
4740017,兰州,女,1
5689985,重庆,男,3
87701570,重庆,男,3
29108775,深圳,女,2
72918894,上海,男,1
8064490,深圳,女,0
42117688,成都,男,1
14072117,哈尔滨,男,1
25778606,上海,女,0
42475490,成都,男,0
24776518,北京,男,3
17690429,成都,女,0
27255459,北京,女,1
10022009,兰州,男,2
98950507,武汉,女,2
18095750,成都,女,1
20404614,深圳,女,1
56078982,上海,女,3
10195060,哈尔滨,男,3
80588972,上海,女,3
45646056,兰州,男,2
29966107,重庆,女,3
27847079,深圳,男,1
20407887,兰州,女,0
27068646,兰州,女,3
5466091,上海,女,2
21872058,兰州,女,1
65742460,重庆,男,1
87117492,深圳,男,3
69920690,哈尔滨,男,3
92047082,兰州,女,3
65988851,兰州,女,0
98690099,成都,男,3
94070604,武汉,女,0
94676212,兰州,男,0
4205750,兰州,男,0
75069881,成都,女,1
20176750,深圳,女,3
31272496,成都,女,1
98695767,北京,男,2
4041869,北京,男,3
88829170,武汉,男,3
59180058,哈尔滨,女,0
51202702,兰州,女,3
72860070,兰州,男,0
5008259,重庆,男,2
77900056,深圳,女,2
6640918,北京,男,3
27981066,成都,男,0
39469989,深圳,女,0
40807206,成都,男,2
10980480,北京,男,1
6680520,哈尔滨,女,2
88980041,重庆,男,2
55722790,成都,男,1
14208701,深圳,女,0
41171180,重庆,女,1
15506548,深圳,女,2
66751600,北京,男,1
89672659,成都,男,0
89904207,兰州,男,1
38129272,深圳,女,2
6762752,北京,女,0
55080484,深圳,男,0
80059192,武汉,男,0
52720147,上海,男,2
56027246,重庆,男,3
66499985,哈尔滨,女,2
81454748,兰州,男,0
92609,深圳,男,2
58128791,深圳,男,2
42224610,兰州,男,0
84400710,哈尔滨,女,2
72107414,成都,男,3
88170422,武汉,男,1
42880450,成都,男,0
31144184,上海,女,1
9507416,武汉,男,1
60702515,重庆,男,3
70810565,上海,男,0
30611956,北京,男,2
22707070,重庆,女,2
80915124,深圳,男,1
44589758,哈尔滨,女,2
20204699,哈尔滨,男,0
75547916,深圳,男,1
84285648,武汉,女,3
44285061,重庆,男,1
6004002,兰州,女,0
21160009,北京,女,3
76105596,深圳,男,1
3657828,哈尔滨,女,1
47680408,上海,男,0
42606594,北京,女,3
35524142,兰州,女,3
59007076,深圳,女,1
20210158,哈尔滨,女,3
61801690,上海,女,0
40014190,北京,男,1
60941014,上海,男,1
16969970,重庆,女,2
44066750,兰州,男,3
41590806,北京,女,0
21985490,哈尔滨,男,3
77025504,成都,女,2
44707054,深圳,女,1
61067826,北京,男,0
50945778,成都,男,3
15002299,成都,男,3
66500508,成都,女,2
52205196,武汉,男,1
37147584,成都,女,3
71712491,成都,男,3
9440884,深圳,男,3
9988218,武汉,男,0
25628247,兰州,男,3
81426812,重庆,女,0
50910598,成都,女,2
27578889,深圳,女,2
27688104,成都,男,3
40808048,成都,男,1
21706095,北京,女,0
50981470,深圳,男,0
65512675,哈尔滨,女,3
40888029,武汉,男,0
97660419,上海,女,1
60558560,武汉,男,1
504262,成都,男,1
65520000,兰州,男,0
75427909,武汉,女,1
18922754,兰州,男,3
71904494,北京,女,0
21947508,北京,男,1
69268759,上海,男,1
41047178,北京,女,0
48950064,武汉,女,2
61988687,成都,女,1
67466847,深圳,女,2
6752678,深圳,男,0
21066427,成都,男,0
90504167,兰州,男,0
810560,兰州,女,0
90602274,重庆,女,1
9096091,上海,男,3
59478989,北京,男,2
54052501,重庆,男,2
50986866,哈尔滨,男,0
92946891,北京,男,2
2914042,上海,女,2
46970614,武汉,男,0
62814120,深圳,男,0
86296460,上海,男,2
26605120,兰州,男,2
8540582,武汉,女,0
36144667,成都,男,0
71957916,武汉,男,3
95906510,北京,女,0
85664947,重庆,女,3
20610157,上海,男,3
75140006,深圳,男,0
52000949,重庆,男,2
47080451,深圳,女,3
19664082,成都,男,2
95205941,成都,男,3
20879202,上海,男,0
64747881,武汉,男,1
2174296,北京,女,1
26691597,深圳,男,1
64519090,上海,女,2
17650465,哈尔滨,女,2
90240597,武汉,男,1
67502901,上海,男,1
10440800,上海,男,3
17008097,北京,女,1
11549481,上海,男,2
89060957,深圳,女,0
61548991,成都,女,3
7064908,武汉,男,1
4256221,成都,女,0
41108410,重庆,女,0
50470066,重庆,女,2
406580,北京,女,1
67119401,哈尔滨,女,1
8024112,成都,男,2
1258480,哈尔滨,男,0
20652090,重庆,男,0
54888400,兰州,男,0
75481190,兰州,女,3
56570125,成都,女,1
75485916,深圳,男,1
9020166,上海,男,1
96557085,上海,女,1
7049019,上海,女,0
58746970,武汉,男,0
96029659,深圳,男,1
15268110,深圳,男,2
8101015,重庆,男,0
7700580,深圳,女,2
14629970,武汉,男,0
56781804,重庆,男,1
80292050,哈尔滨,男,1
20097259,深圳,女,2
90590024,成都,男,1
91215949,重庆,男,0
70720059,兰州,男,3
8209404,北京,男,0
50420920,深圳,男,3
91404699,重庆,男,1
68199900,武汉,男,3
89857924,哈尔滨,男,3
28084581,成都,女,0
89209660,武汉,男,2
18660246,上海,男,2
91824402,武汉,女,0
87040140,武汉,男,3
88477660,上海,女,0
80465896,成都,男,1
8646557,上海,男,0
60817095,上海,女,3
92205995,武汉,男,0
81661189,武汉,女,0
90999200,兰州,男,0
91940551,兰州,男,0
62699064,成都,女,3
25675879,成都,男,1
20121020,深圳,男,0
75406217,兰州,男,1
4679990,重庆,女,3
26276789,上海,女,3
48898760,重庆,女,0
6082122,成都,男,2
29065200,北京,男,0
2988206,深圳,女,2
7908057,兰州,男,3
56910484,哈尔滨,女,1
38511856,北京,男,1
76201458,兰州,女,0
68940210,深圳,男,2
26795655,重庆,女,3
12579959,兰州,女,1
18004749,成都,男,1
19817266,武汉,女,1
10017187,哈尔滨,男,3
5602169,上海,女,2
98948597,深圳,男,3
70828605,上海,男,3
89102247,兰州,女,0
75682756,成都,女,0
70460710,重庆,男,3
42642579,深圳,女,0
16601657,武汉,女,2
400450,成都,男,1
50045860,北京,男,2
22460,北京,男,1
68906181,兰州,女,0
68802270,成都,女,1
1548097,重庆,男,3
6449691,北京,女,3
75512550,武汉,女,3
65817671,兰州,女,3
98896916,上海,女,1
36692478,成都,女,2
60049024,重庆,男,3
55400085,上海,男,0
8966960,成都,男,1
52099102,上海,男,3
92019471,深圳,男,0
64400756,重庆,女,3
18142460,哈尔滨,男,0
70128618,成都,男,2
4062441,武汉,男,3
84000879,武汉,女,0
55098856,兰州,女,3
76627529,哈尔滨,女,2
96581150,武汉,男,1
72568254,上海,男,2
20207891,武汉,男,2
40414570,兰州,男,0
86625425,哈尔滨,女,2
70876826,上海,男,2
95228907,上海,男,0
56629000,兰州,男,1
90027600,上海,男,2
12617074,兰州,女,1
74420827,哈尔滨,男,1
77240008,深圳,男,3
60856186,上海,女,1
48959452,哈尔滨,男,1
60429684,成都,女,2
10999177,成都,男,1
75255580,上海,女,1
86521018,上海,男,2
64792801,深圳,女,1
28941070,深圳,男,0
14557571,重庆,女,1
7994827,重庆,男,3
14040815,上海,男,3
10850481,武汉,男,0
50607746,武汉,女,0
92564907,武汉,女,2
60170076,哈尔滨,男,0
67510855,北京,男,1
60804150,上海,女,0
90841954,重庆,女,0
17252274,成都,男,1
29014197,哈尔滨,男,3
12598208,北京,男,1
5059818,北京,男,1
22276752,重庆,男,3
42202941,武汉,女,2
91706799,武汉,女,0
22892851,上海,男,1
61100700,武汉,女,1
1244705,重庆,男,0
84421765,兰州,女,2
2085182,深圳,女,3
75801458,哈尔滨,女,1
98270046,北京,女,3
2950229,重庆,女,3
8560790,上海,男,3
16079820,北京,女,1
88827150,武汉,男,3
900012,成都,女,0
58014810,重庆,男,3
10904605,成都,女,2
15066482,上海,男,0
56407514,成都,男,1
50800752,兰州,女,2
57022121,重庆,男,3
79585910,成都,女,0
61259100,兰州,男,2
48505208,成都,女,0
15458011,哈尔滨,女,2
21121860,哈尔滨,女,1
33421721,哈尔滨,男,3
15471058,兰州,男,0
86569767,北京,男,0
26814548,北京,女,2
82105161,成都,男,0
64050414,哈尔滨,男,3
54597012,哈尔滨,女,1
52429640,哈尔滨,女,1
8146501,武汉,女,1
59508448,哈尔滨,女,2
45050871,北京,女,0
21829805,上海,女,3
15829049,兰州,男,0
78065640,哈尔滨,男,2
5710206,兰州,男,2
2700740,兰州,男,1
49458088,哈尔滨,男,1
6652088,武汉,女,3
66810811,武汉,男,2
61780649,深圳,女,3
5570078,武汉,男,1
70200405,武汉,女,1
76956942,哈尔滨,男,1
98507240,成都,男,0
72206544,武汉,男,3
81280665,兰州,女,2
71677266,上海,男,0
96276576,武汉,女,1
40962921,北京,女,1
95079277,北京,女,0
10005050,成都,男,3
4705190,哈尔滨,男,1
9990540,哈尔滨,男,3
80775010,北京,男,0
18068557,上海,男,2
61015404,武汉,男,2
16100150,上海,女,3
59940745,兰州,女,0
62614176,兰州,女,2
625206,深圳,女,0
85690781,哈尔滨,男,0
878070,哈尔滨,女,3
76846057,上海,女,1
14944674,上海,男,1
87727079,重庆,女,1
94204282,重庆,男,3
10870816,兰州,男,2
15970154,上海,男,0
89227926,兰州,男,1
77620751,兰州,女,1
71450027,深圳,男,1
11505804,兰州,男,2
96052062,武汉,男,2
28789200,兰州,男,2
6204602,成都,女,0
68691640,北京,男,1
24400002,深圳,男,2
998070,上海,女,0
80456144,重庆,女,3
50040127,上海,女,3
89297256,深圳,男,1
58290644,上海,男,2
8701909,上海,男,0
17849854,重庆,女,1
47208721,成都,女,0
10709072,武汉,女,2
7416260,上海,男,0
41700102,上海,男,3
16645780,北京,男,1
71916079,成都,男,2
80001266,北京,男,3
72954764,武汉,男,1
2689068,哈尔滨,男,1
54090264,重庆,男,0
70802069,深圳,女,0
5000848,武汉,女,1
4140097,哈尔滨,男,1
97980809,武汉,男,3
20290681,兰州,男,3
1197910,成都,女,3
72491460,北京,女,2
40861847,深圳,女,0
8662069,上海,男,3
10800127,哈尔滨,女,3
70115105,哈尔滨,女,2
48477960,武汉,男,0
10042820,深圳,男,1
12125986,成都,女,0
72018200,深圳,男,1
2527544,哈尔滨,女,2
70606646,重庆,女,1
69828121,兰州,男,2
91281868,成都,男,0
40619071,北京,女,3
98270107,武汉,男,1
2401952,武汉,男,3
6007844,成都,女,0
9051061,重庆,男,2
22750840,成都,女,2
97970078,成都,男,3
8226660,哈尔滨,女,0
92587091,兰州,男,1
49516674,成都,男,2
88200474,深圳,男,1
20492466,成都,女,3
31759165,哈尔滨,男,2
62669808,上海,男,2
46277921,兰州,男,3
67698029,上海,男,3
44248227,北京,女,1
50028459,深圳,男,2
69009698,哈尔滨,女,2
45800544,成都,女,3
92965622,北京,女,0
15585099,上海,男,2
50102551,深圳,男,3
6071007,哈尔滨,女,0
80278980,北京,女,3
20878420,重庆,男,2
86204204,深圳,女,3
24500652,上海,女,3
42527600,深圳,女,2
16968572,成都,男,3
855028,兰州,男,0
7598190,深圳,女,2
78715880,成都,女,1
5058580,成都,男,0
18800786,武汉,男,0
20100145,深圳,男,3
33185525,北京,女,0
12090025,武汉,女,1
21607060,兰州,男,2
61297059,深圳,女,3
17905721,武汉,女,2
10802015,深圳,女,2
40897857,哈尔滨,男,0
10206515,重庆,女,1
78210912,哈尔滨,女,0
82844685,成都,男,0
78616742,成都,男,1
28284969,成都,男,0
96409929,北京,男,3
94161247,上海,男,3
9085842,成都,女,1
20081206,上海,女,3
70480656,成都,女,3
56885272,哈尔滨,男,0
