,order_id,user_id,price,platform,payment_provider,create_time,pay_time
136,137,79410060,25.0,android,wxpay,2020-01-13 10:55:00,2020-01-13 10:56:00
142,143,50122807,25.0,android,alipay,2019-12-08 03:25:00,2019-12-08 03:26:00
145,146,9993456,248.0,android,alipay,2019-09-27 08:01:00,2019-09-27 08:02:00
148,149,80200640,25.0,android,wxpay,2020-06-13 10:24:00,2020-06-13 10:25:00
150,151,26247781,68.0,android,wxpay,2019-09-25 23:31:00,2019-09-25 23:32:00
155,156,80110092,68.0,ios,applepay,2020-06-15 02:02:00,2020-06-15 02:03:00
161,162,48972505,248.0,android,alipay,2020-06-07 14:29:00,2020-06-07 14:30:00
168,169,52801057,25.0,android,wxpay,2019-12-17 07:39:00,2019-12-17 07:40:00
171,172,78662803,248.0,android,alipay,2019-10-30 14:24:00,2019-10-30 14:25:00
173,174,87503089,68.0,android,wxpay,2020-01-27 23:13:00,2020-01-27 23:14:00
174,175,54093151,68.0,android,wxpay,2020-01-24 16:49:00,2020-01-24 16:50:00
175,176,99145250,248.0,android,wxpay,2019-08-28 12:04:00,2019-08-28 12:05:00
178,179,104313618,248.0,ios,applepay,2019-08-23 18:34:00,2020-04-01 12:03:00
179,180,107292240,248.0,android,wxpay,2020-01-03 11:57:00,2020-01-03 11:58:00
182,183,46936041,248.0,android,wxpay,2019-10-21 22:14:00,2019-10-21 22:15:00
186,187,48399295,25.0,android,alipay,2019-10-17 01:11:00,2019-10-17 01:12:00
188,189,45061995,248.0,android,wxpay,2020-07-08 09:57:00,2020-07-08 09:58:00
189,190,43975747,248.0,ios,applepay,2020-05-30 09:40:00,2020-05-30 09:41:00
197,198,107536860,248.0,android,wxpay,2020-02-10 22:27:00,2020-02-10 22:28:00
198,199,103192239,248.0,ios,wxpay,2019-11-02 22:21:00,2019-11-02 22:22:00
213,214,102546666,248.0,ios,applepay,2020-06-07 23:29:00,2020-06-07 23:37:00
219,220,93643608,248.0,android,alipay,2020-07-12 01:12:00,2020-07-12 01:13:00
229,230,97687505,248.0,android,wxpay,2020-02-23 11:03:00,2020-02-23 11:04:00
234,235,83163996,68.0,android,alipay,2019-09-04 14:21:00,2019-09-04 14:22:00
235,236,66024670,68.0,ios,applepay,2019-09-20 19:32:00,2020-04-01 12:03:00
238,239,30329637,248.0,ios,applepay,2020-06-02 21:20:00,2020-06-02 21:21:00
239,240,98136118,248.0,android,wxpay,2020-06-02 09:24:00,2020-06-02 09:25:00
244,245,71452381,25.0,android,alipay,2019-09-07 10:43:00,2019-09-07 10:44:00
248,249,30121325,25.0,ios,applepay,2019-10-13 15:48:00,2020-04-01 12:04:00
250,251,83404388,68.0,android,wxpay,2019-08-08 08:31:00,2019-08-08 08:32:00
251,252,88909360,68.0,ios,applepay,2019-11-29 22:29:00,2020-04-01 12:04:00
253,254,37794449,248.0,android,wxpay,2019-08-31 20:55:00,2019-08-31 20:56:00
254,255,85407580,68.0,android,wxpay,2020-01-31 09:26:00,2020-01-31 09:27:00
262,263,106145590,248.0,android,wxpay,2020-01-14 00:56:00,2020-01-14 00:59:00
263,264,52108363,248.0,ios,applepay,2019-09-13 15:31:00,2020-04-01 12:03:00
264,265,105361111,25.0,ios,applepay,2020-03-02 06:51:00,2020-04-01 12:06:00
269,270,103100827,25.0,android,wxpay,2020-01-22 07:15:00,2020-01-22 07:16:00
273,274,102564913,248.0,android,wxpay,2019-08-01 13:08:00,2019-08-01 13:09:00
278,279,96490558,25.0,android,wxpay,2020-07-04 01:11:00,2020-07-04 01:12:00
280,281,81685692,25.0,ios,applepay,2019-09-27 18:06:00,2020-04-01 12:04:00
281,282,81685692,25.0,ios,applepay,2020-01-07 02:13:00,2020-04-01 12:05:00
282,283,55415568,248.0,ios,applepay,2020-06-24 10:38:00,2020-06-24 10:39:00
289,290,106271276,248.0,android,wxpay,2019-09-21 18:48:00,2019-09-21 18:49:00
292,293,11059154,248.0,ios,applepay,2019-09-09 20:47:00,2019-09-10 12:53:00
294,295,104086695,25.0,ios,applepay,2019-09-01 09:40:00,2020-04-01 12:03:00
295,296,104086695,25.0,ios,applepay,2020-02-23 08:38:00,2020-04-01 12:05:00
296,297,104086695,25.0,ios,applepay,2020-06-22 06:51:00,2020-06-22 06:52:00
297,298,107903046,68.0,ios,applepay,2020-05-01 15:06:00,2020-05-01 15:07:00
298,299,99634441,248.0,ios,applepay,2020-02-08 11:56:00,2020-04-01 12:05:00
299,300,104289885,248.0,ios,applepay,2019-11-21 17:29:00,2020-04-01 12:04:00
303,304,80103517,25.0,android,alipay,2019-08-19 14:45:00,2019-08-19 14:46:00
307,308,22355892,25.0,android,wxpay,2020-01-17 09:43:00,2020-01-17 09:44:00
311,312,80896467,248.0,ios,applepay,2019-09-08 19:42:00,2020-04-01 12:03:00
314,315,89775142,248.0,ios,applepay,2020-07-18 12:00:00,2020-07-18 12:01:00
318,319,79778162,68.0,ios,applepay,2019-10-08 07:32:00,2020-04-01 12:04:00
319,320,79778162,248.0,ios,applepay,2020-05-03 10:15:00,2020-05-03 10:16:00
321,322,105714477,68.0,ios,applepay,2019-11-03 12:53:00,2020-04-01 12:04:00
323,324,107224787,248.0,ios,applepay,2020-02-06 18:02:00,2020-04-01 12:05:00
328,329,84097720,68.0,ios,applepay,2020-01-27 09:41:00,2020-01-27 12:13:00
331,332,102153607,25.0,android,wxpay,2019-09-11 23:17:00,2019-09-11 23:18:00
332,333,20667169,25.0,android,wxpay,2019-10-21 06:01:00,2019-10-21 06:02:00
335,336,108037268,68.0,ios,applepay,2019-08-05 08:09:00,2020-04-01 12:03:00
339,340,106745185,25.0,ios,applepay,2019-11-16 13:57:00,2020-04-01 12:04:00
344,345,104872351,25.0,android,wxpay,2019-09-10 00:03:00,2019-09-10 00:04:00
346,347,97648044,248.0,ios,applepay,2019-08-28 07:26:00,2020-04-01 12:03:00
353,354,93051096,25.0,android,wxpay,2019-09-01 19:38:00,2019-09-01 19:39:00
354,355,48208836,248.0,ios,applepay,2020-02-04 10:59:00,2020-04-01 12:05:00
356,357,106028689,68.0,ios,applepay,2020-01-03 14:14:00,2020-01-03 14:37:00
358,359,9585909,25.0,android,wxpay,2019-08-25 21:32:00,2019-08-25 21:34:00
359,360,31620012,68.0,ios,applepay,2020-02-23 17:25:00,2020-02-24 14:40:00
364,365,84446618,248.0,android,alipay,2019-10-05 10:58:00,2019-10-05 10:59:00
365,366,88320383,248.0,android,wxpay,2019-12-02 14:56:00,2019-12-02 14:57:00
367,368,98126926,25.0,android,wxpay,2020-03-06 12:12:00,2020-03-06 12:13:00
373,374,13533024,248.0,android,wxpay,2020-06-03 07:29:00,2020-06-03 07:30:00
375,376,22090733,248.0,ios,applepay,2020-06-04 20:18:00,2020-06-04 20:19:00
378,379,28177132,68.0,ios,applepay,2019-11-09 00:13:00,2020-04-01 12:04:00
379,380,28177132,68.0,ios,applepay,2020-07-05 17:01:00,2020-07-05 17:02:00
381,382,43319440,248.0,ios,applepay,2020-06-10 02:16:00,2020-06-10 02:17:00
385,386,79978028,248.0,ios,applepay,2019-10-04 10:49:00,2020-04-01 12:04:00
386,387,83269215,248.0,ios,applepay,2020-02-12 10:54:00,2020-04-01 12:05:00
387,388,98479160,25.0,ios,applepay,2019-10-17 07:50:00,2020-04-01 12:04:00
388,389,91622573,248.0,android,wxpay,2020-02-23 17:57:00,2020-02-23 17:58:00
398,399,19705869,25.0,ios,applepay,2019-09-24 06:49:00,2019-09-25 09:43:00
404,405,90262483,248.0,android,wxpay,2020-06-04 20:19:00,2020-06-04 20:20:00
405,406,93995364,248.0,ios,applepay,2019-09-12 23:55:00,2020-04-01 12:03:00
406,407,108056058,25.0,ios,applepay,2019-11-25 20:03:00,2020-04-01 12:04:00
407,408,108056058,248.0,ios,applepay,2020-02-26 23:07:00,2020-02-26 23:08:00
410,411,36632415,248.0,ios,applepay,2019-10-07 08:06:00,2020-04-01 12:04:00
411,412,14779335,25.0,ios,applepay,2019-09-02 00:37:00,2020-04-01 12:03:00
412,413,91387277,68.0,android,wxpay,2019-09-24 19:33:00,2019-09-24 19:34:00
413,414,91387277,68.0,android,wxpay,2020-03-22 06:02:00,2020-03-22 06:03:00
415,416,93885427,25.0,ios,wxpay,2019-09-16 11:33:00,2019-09-16 11:34:00
423,424,105712600,68.0,ios,applepay,2019-09-19 07:54:00,2020-04-01 12:03:00
424,425,73847522,248.0,ios,applepay,2020-03-03 10:44:00,2020-04-01 12:06:00
425,426,27231453,68.0,ios,applepay,2019-11-13 07:03:00,2020-04-01 12:04:00
427,428,86679047,248.0,ios,applepay,2019-11-08 22:24:00,2020-04-01 12:04:00
428,429,97783135,248.0,ios,applepay,2020-02-04 14:54:00,2020-04-01 12:05:00
429,430,77474205,25.0,ios,applepay,2019-09-26 15:09:00,2020-04-01 12:04:00
433,434,80145968,25.0,android,wxpay,2020-01-08 12:52:00,2020-01-08 12:53:00
445,446,94135219,248.0,ios,applepay,2019-09-22 19:23:00,2020-04-01 12:04:00
451,452,15013034,25.0,ios,applepay,2019-09-08 21:48:00,2020-04-01 12:03:00
453,454,102555131,248.0,ios,applepay,2019-12-23 19:46:00,2020-04-01 12:05:00
456,457,80312948,68.0,android,wxpay,2020-02-05 20:23:00,2020-02-05 20:24:00
462,463,41858921,248.0,ios,applepay,2019-12-23 21:21:00,2020-04-01 12:05:00
465,466,105806425,68.0,ios,applepay,2019-12-10 19:44:00,2020-04-01 12:05:00
466,467,89878521,25.0,android,wxpay,2020-05-30 12:22:00,2020-05-30 12:23:00
470,471,36540102,248.0,android,wxpay,2019-10-16 07:04:00,2019-10-16 07:05:00
472,473,104137801,25.0,android,wxpay,2020-01-30 16:00:00,2020-01-30 16:01:00
477,478,92996014,68.0,android,wxpay,2019-09-10 13:57:00,2019-09-10 13:58:00
479,480,60558647,25.0,ios,applepay,2019-10-09 08:25:00,2020-04-01 12:04:00
481,482,104600894,25.0,ios,applepay,2019-10-30 22:40:00,2020-04-01 12:04:00
482,483,104600894,25.0,ios,applepay,2020-05-13 09:51:00,2020-05-13 09:52:00
488,489,62792047,25.0,ios,applepay,2019-09-23 23:45:00,2019-09-24 13:28:00
490,491,52445749,248.0,android,wxpay,2020-07-14 06:27:00,2020-07-14 06:28:00
491,492,71656195,68.0,android,wxpay,2020-03-14 23:33:00,2020-03-14 23:34:00
497,498,28527019,25.0,ios,applepay,2019-09-08 08:11:00,2020-04-01 12:03:00
500,501,106741810,68.0,ios,applepay,2019-09-30 18:43:00,2020-04-01 12:04:00
503,504,58935900,248.0,android,wxpay,2019-12-10 10:00:00,2019-12-10 10:01:00
507,508,28718892,248.0,android,wxpay,2020-02-09 20:05:00,2020-02-09 20:06:00
509,510,10093272,248.0,android,alipay,2019-09-03 14:18:00,2019-09-03 14:19:00
510,511,54488793,25.0,android,wxpay,2019-11-29 22:33:00,2019-11-29 22:34:00
513,514,104544311,248.0,ios,applepay,2020-02-14 08:16:00,2020-04-01 12:05:00
514,515,80323385,248.0,ios,applepay,2019-11-16 16:59:00,2020-04-01 12:04:00
519,520,53662512,25.0,android,alipay,2020-01-22 12:55:00,2020-01-22 12:56:00
520,521,53662512,68.0,android,alipay,2020-04-20 16:53:00,2020-04-20 16:54:00
521,522,97896862,25.0,ios,applepay,2019-09-23 08:07:00,2020-04-01 12:04:00
522,523,97896862,68.0,ios,applepay,2019-12-17 18:54:00,2020-04-01 12:05:00
523,524,20589797,25.0,ios,applepay,2019-10-19 21:42:00,2020-04-01 12:04:00
524,525,71836281,25.0,android,wxpay,2019-12-20 03:21:00,2019-12-20 03:22:00
525,526,80466784,25.0,ios,applepay,2019-09-20 21:46:00,2020-04-01 12:03:00
537,538,11022709,25.0,ios,applepay,2019-08-11 09:39:00,2020-04-01 12:03:00
538,539,106888700,25.0,android,wxpay,2020-02-23 23:26:00,2020-02-23 23:27:00
546,547,107450460,25.0,android,wxpay,2020-03-08 21:34:00,2020-03-08 21:35:00
548,549,91704702,68.0,ios,applepay,2020-07-01 05:26:00,2020-07-01 05:27:00
552,553,99701759,248.0,ios,applepay,2019-08-26 13:23:00,2020-04-01 12:03:00
554,555,48182317,25.0,ios,applepay,2020-02-02 08:58:00,2020-04-01 12:05:00
556,557,101205853,25.0,android,alipay,2019-08-07 09:31:00,2019-08-07 09:32:00
558,559,19622643,248.0,android,alipay,2020-02-07 22:56:00,2020-02-07 22:57:00
560,561,52225498,25.0,android,wxpay,2020-06-23 10:03:00,2020-06-23 10:04:00
561,562,80337514,248.0,android,wxpay,2019-12-07 12:08:00,2019-12-07 12:09:00
562,563,75701276,68.0,android,alipay,2020-01-10 00:50:00,2020-01-10 00:51:00
563,564,101186152,68.0,android,alipay,2019-11-08 11:15:00,2019-11-08 11:16:00
568,569,83428906,68.0,android,wxpay,2019-08-04 22:59:00,2019-08-04 23:00:00
571,572,55920013,25.0,android,wxpay,2020-03-17 20:00:00,2020-03-17 20:01:00
572,573,13241202,248.0,ios,applepay,2020-03-31 21:22:00,2020-04-01 12:06:00
574,575,108013879,248.0,ios,applepay,2019-09-16 10:38:00,2020-04-01 12:03:00
575,576,57182178,248.0,ios,applepay,2020-02-02 15:43:00,2020-02-03 19:35:00
576,577,81672841,25.0,ios,applepay,2019-09-18 11:09:00,2020-04-01 12:03:00
577,578,81672841,25.0,ios,applepay,2020-06-26 13:46:00,2020-06-26 13:47:00
579,580,68160514,68.0,ios,applepay,2019-11-06 13:41:00,2020-04-01 12:04:00
581,582,66280002,25.0,ios,applepay,2019-09-11 05:58:00,2020-04-01 12:03:00
582,583,66280002,248.0,ios,applepay,2019-12-08 08:44:00,2020-04-01 12:05:00
589,590,81840579,68.0,android,wxpay,2020-01-05 08:38:00,2020-01-05 08:39:00
592,593,108238566,248.0,android,wxpay,2020-06-24 10:37:00,2020-06-24 10:38:00
594,595,84529800,248.0,android,wxpay,2019-10-03 17:24:00,2019-10-03 17:25:00
597,598,107499618,248.0,android,wxpay,2019-12-16 06:52:00,2019-12-16 06:55:00
599,600,18879147,25.0,android,wxpay,2019-08-24 10:59:00,2019-08-24 11:00:00
602,603,44939748,248.0,android,alipay,2020-03-07 10:51:00,2020-03-07 10:52:00
604,605,56745941,25.0,ios,applepay,2019-11-24 09:15:00,2020-04-01 12:04:00
610,611,106376951,25.0,android,wxpay,2019-09-26 19:50:00,2019-09-26 19:51:00
611,612,31281334,25.0,ios,applepay,2019-11-08 07:30:00,2020-04-01 12:04:00
612,613,22454267,25.0,ios,applepay,2020-05-12 12:43:00,2020-05-12 12:44:00
613,614,82828336,248.0,ios,applepay,2020-02-07 11:48:00,2020-04-01 12:05:00
615,616,104389388,25.0,android,wxpay,2019-11-24 23:18:00,2019-11-24 23:19:00
616,617,104389388,68.0,android,wxpay,2020-04-04 19:20:00,2020-04-04 19:21:00
621,622,71961323,248.0,android,wxpay,2019-08-05 13:11:00,2019-08-05 13:12:00
624,625,24392892,25.0,ios,applepay,2019-09-17 16:21:00,2020-04-01 12:03:00
630,631,100997284,25.0,ios,applepay,2019-09-19 13:03:00,2020-04-01 12:03:00
635,636,30418490,68.0,ios,applepay,2020-01-25 12:05:00,2020-04-01 12:05:00
641,642,49965354,68.0,android,wxpay,2020-02-13 11:09:00,2020-02-13 11:10:00
643,644,76252250,25.0,android,wxpay,2020-03-10 11:04:00,2020-03-10 11:05:00
644,645,33838361,248.0,ios,applepay,2020-02-01 18:25:00,2020-04-01 12:05:00
651,652,62263518,248.0,android,wxpay,2020-07-23 00:07:00,2020-07-23 00:08:00
655,656,107581120,68.0,android,wxpay,2020-02-22 16:41:00,2020-02-22 16:42:00
657,658,15073821,248.0,android,alipay,2019-10-22 13:14:00,2019-10-22 13:15:00
662,663,20328471,248.0,android,wxpay,2019-12-21 09:01:00,2019-12-21 09:02:00
664,665,90348293,248.0,android,alipay,2019-11-27 21:03:00,2019-11-27 21:04:00
666,667,43806145,248.0,android,wxpay,2019-12-23 16:15:00,2019-12-23 16:17:00
669,670,108195472,25.0,ios,applepay,2019-09-22 23:11:00,2020-04-01 12:04:00
674,675,52088057,248.0,android,wxpay,2020-06-06 09:21:00,2020-06-06 09:22:00
679,680,59397500,248.0,ios,applepay,2019-08-22 22:44:00,2020-04-01 12:03:00
681,682,86533299,25.0,ios,applepay,2019-09-17 23:11:00,2020-04-01 12:03:00
682,683,86533299,25.0,ios,applepay,2019-12-30 09:28:00,2020-04-01 12:05:00
684,685,66656154,248.0,ios,applepay,2020-07-03 16:00:00,2020-07-03 16:01:00
686,687,78566063,68.0,android,wxpay,2020-05-27 09:38:00,2020-05-27 09:39:00
689,690,83674682,248.0,android,wxpay,2019-09-10 20:51:00,2019-09-10 20:52:00
690,691,71592725,248.0,android,alipay,2019-11-06 09:37:00,2019-11-06 09:38:00
692,693,94362443,248.0,android,wxpay,2019-11-03 23:41:00,2019-11-03 23:42:00
696,697,81784949,248.0,android,alipay,2020-03-01 22:52:00,2020-03-01 22:53:00
698,699,107303622,25.0,ios,applepay,2019-09-11 08:15:00,2020-04-01 12:03:00
699,700,17116633,25.0,ios,applepay,2019-09-18 14:56:00,2020-04-01 12:03:00
700,701,17116633,68.0,ios,applepay,2019-12-20 12:15:00,2020-04-01 12:05:00
703,704,89310308,68.0,android,wxpay,2020-03-25 19:33:00,2020-03-25 19:34:00
706,707,97872639,25.0,ios,applepay,2019-11-12 21:54:00,2019-11-13 09:51:00
707,708,105525392,248.0,android,wxpay,2020-02-09 23:22:00,2020-02-09 23:23:00
708,709,55586565,25.0,android,wxpay,2020-05-16 21:20:00,2020-05-16 21:21:00
710,711,43478035,248.0,android,wxpay,2019-10-06 15:43:00,2019-10-06 15:44:00
711,712,99101726,248.0,android,wxpay,2019-10-25 13:51:00,2019-10-25 13:52:00
712,713,38393992,25.0,ios,applepay,2019-12-26 06:48:00,2020-04-01 12:05:00
713,714,38393992,25.0,ios,applepay,2020-04-21 16:32:00,2020-04-21 16:33:00
716,717,94456430,248.0,android,wxpay,2020-03-31 08:11:00,2020-03-31 08:12:00
717,718,28221511,248.0,ios,applepay,2020-03-31 10:46:00,2020-04-01 12:06:00
720,721,63855163,25.0,ios,applepay,2020-02-11 09:03:00,2020-04-01 12:05:00
724,725,78271516,68.0,ios,applepay,2020-04-02 07:11:00,2020-04-02 07:12:00
725,726,48449715,68.0,ios,applepay,2019-09-12 08:24:00,2020-04-01 12:03:00
727,728,79706619,248.0,ios,applepay,2019-09-06 08:10:00,2020-04-01 12:03:00
730,731,54072460,248.0,android,wxpay,2020-01-04 10:04:00,2020-01-04 10:05:00
731,732,71461744,248.0,ios,applepay,2019-09-16 18:48:00,2020-04-01 12:03:00
734,735,43818951,25.0,ios,applepay,2020-04-07 07:51:00,2020-04-07 07:52:00
736,737,99373885,25.0,ios,applepay,2019-11-22 16:52:00,2019-11-25 16:11:00
737,738,14877164,248.0,android,alipay,2020-06-30 23:38:00,2020-06-30 23:39:00
741,742,92561805,25.0,ios,applepay,2019-10-05 13:32:00,2020-04-01 12:04:00
742,743,92561805,68.0,ios,applepay,2020-02-02 22:31:00,2020-04-01 12:05:00
744,745,49229935,68.0,android,wxpay,2020-01-07 10:25:00,2020-01-07 10:26:00
747,748,27108339,25.0,android,wxpay,2019-09-19 13:47:00,2019-09-19 13:48:00
749,750,96333231,248.0,android,wxpay,2019-10-14 11:09:00,2019-10-14 11:10:00
752,753,52535845,248.0,ios,applepay,2020-01-29 19:29:00,2020-04-01 12:05:00
755,756,67954110,248.0,ios,applepay,2019-11-10 00:25:00,2020-04-01 12:04:00
757,758,58141088,248.0,ios,applepay,2019-10-16 19:15:00,2020-04-01 12:04:00
758,759,60060421,25.0,ios,applepay,2019-08-06 14:41:00,2020-04-01 12:03:00
759,760,60060421,25.0,ios,applepay,2019-11-07 12:44:00,2020-04-01 12:04:00
760,761,60060421,25.0,ios,applepay,2020-02-22 21:38:00,2020-04-01 12:05:00
763,764,60792141,68.0,ios,applepay,2020-01-27 08:41:00,2020-04-01 12:05:00
764,765,99219164,248.0,android,alipay,2020-04-04 17:41:00,2020-04-04 17:42:00
766,767,59213795,25.0,android,wxpay,2020-02-11 19:26:00,2020-02-11 19:27:00
769,770,28559521,248.0,ios,applepay,2020-02-10 21:47:00,2020-04-01 12:05:00
772,773,68130612,25.0,ios,applepay,2019-10-10 11:19:00,2020-04-01 12:04:00
774,775,68130612,25.0,ios,applepay,2020-03-26 11:07:00,2020-04-01 12:06:00
775,776,68130612,25.0,ios,applepay,2020-07-06 13:29:00,2020-07-06 13:30:00
776,777,32686983,248.0,ios,applepay,2020-02-02 22:26:00,2020-04-01 12:05:00
777,778,106470356,248.0,ios,applepay,2020-06-22 21:01:00,2020-06-22 21:02:00
778,779,67288492,248.0,ios,applepay,2019-11-03 15:31:00,2020-04-01 12:04:00
779,780,13876048,248.0,ios,applepay,2020-03-21 11:43:00,2020-04-01 12:06:00
782,783,26161449,68.0,android,wxpay,2019-09-26 10:21:00,2019-09-26 10:22:00
784,785,39914530,25.0,android,wxpay,2019-09-07 22:12:00,2019-09-07 22:13:00
788,789,56707552,25.0,ios,applepay,2020-02-20 23:29:00,2020-02-20 23:30:00
789,790,107196161,248.0,ios,applepay,2019-11-10 19:57:00,2020-04-01 12:04:00
792,793,94403588,248.0,android,wxpay,2020-07-13 22:47:00,2020-07-13 22:48:00
798,799,78337249,248.0,android,wxpay,2020-03-04 10:53:00,2020-03-04 10:54:00
802,803,70810772,248.0,ios,applepay,2019-09-09 08:53:00,2020-04-01 12:03:00
803,804,55148717,248.0,android,alipay,2020-02-09 14:20:00,2020-02-09 14:21:00
804,805,55148717,25.0,android,wxpay,2019-11-10 23:21:00,2019-11-10 23:23:00
805,806,31520265,25.0,ios,applepay,2019-08-18 22:19:00,2020-04-01 12:03:00
807,808,11244049,68.0,ios,applepay,2020-02-19 08:28:00,2020-04-01 12:05:00
808,809,27741954,25.0,ios,applepay,2019-08-29 22:28:00,2020-04-01 12:03:00
811,812,70013656,68.0,ios,applepay,2019-09-10 21:39:00,2020-04-01 12:03:00
812,813,98020332,248.0,ios,applepay,2020-03-28 04:31:00,2020-04-01 12:06:00
813,814,66174821,248.0,ios,applepay,2019-08-29 08:45:00,2020-04-01 12:03:00
814,815,45774590,248.0,ios,applepay,2019-10-20 20:31:00,2019-10-21 11:09:00
815,816,56067229,248.0,android,alipay,2020-02-15 07:22:00,2020-02-15 07:23:00
816,817,103416284,248.0,android,wxpay,2020-02-01 22:29:00,2020-02-01 22:30:00
819,820,100019776,248.0,ios,applepay,2020-02-02 09:39:00,2020-04-01 12:05:00
824,825,49425386,248.0,ios,applepay,2020-03-26 11:51:00,2020-04-01 12:06:00
829,830,68005798,25.0,ios,applepay,2019-09-18 00:26:00,2020-04-01 12:03:00
832,833,106160703,25.0,ios,applepay,2020-07-25 22:31:00,2020-07-25 22:32:00
833,834,106160703,25.0,android,wxpay,2020-01-21 20:34:00,2020-01-21 20:35:00
838,839,99687390,25.0,android,wxpay,2019-09-12 22:37:00,2019-09-12 22:38:00
843,844,75145407,25.0,android,wxpay,2020-07-25 00:15:00,2020-07-25 00:16:00
845,846,20907659,68.0,ios,applepay,2019-11-11 16:22:00,2020-04-01 12:04:00
847,848,12945880,248.0,ios,applepay,2019-08-25 22:43:00,2020-04-01 12:03:00
849,850,102635936,248.0,android,wxpay,2020-02-22 12:48:00,2020-02-22 12:50:00
850,851,66057891,248.0,ios,applepay,2019-12-01 09:51:00,2019-12-01 09:55:00
853,854,13182552,25.0,ios,applepay,2019-09-23 00:40:00,2020-04-01 12:04:00
854,855,71322651,68.0,ios,applepay,2019-09-13 03:46:00,2020-04-01 12:03:00
855,856,71322651,248.0,ios,applepay,2020-03-11 10:43:00,2020-04-01 12:06:00
859,860,89369082,248.0,android,wxpay,2019-11-11 06:58:00,2019-11-11 06:59:00
862,863,66452714,25.0,ios,applepay,2020-02-12 10:51:00,2020-04-01 12:05:00
865,866,98107476,248.0,android,alipay,2019-09-25 20:20:00,2019-09-25 20:22:00
866,867,45570590,25.0,ios,applepay,2020-03-08 19:09:00,2020-04-01 12:06:00
868,869,106869355,25.0,ios,applepay,2019-09-23 21:35:00,2020-04-01 12:04:00
871,872,47346533,248.0,android,alipay,2020-01-01 16:14:00,2020-01-01 16:15:00
872,873,104687393,25.0,ios,applepay,2020-01-07 22:02:00,2020-04-01 12:05:00
873,874,53483394,248.0,ios,applepay,2020-02-03 21:19:00,2020-04-01 12:05:00
874,875,31296678,25.0,android,wxpay,2019-09-22 23:18:00,2019-09-22 23:19:00
876,877,103492710,68.0,ios,applepay,2020-02-07 10:43:00,2020-04-01 12:05:00
879,880,104917851,68.0,ios,applepay,2020-07-10 00:00:00,2020-07-10 00:01:00
882,883,56551945,25.0,ios,applepay,2019-09-19 09:39:00,2020-04-01 12:03:00
883,884,56551945,68.0,ios,applepay,2020-01-30 09:48:00,2020-04-01 12:05:00
889,890,25193979,248.0,android,wxpay,2019-12-28 09:59:00,2019-12-28 10:00:00
